标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,字段8_link,赏金总额1,字段9_link,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,字段1,字段2,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19
【产品推广】文创产品营销策划案,https://task.epwk.com/947633/,2747人,10人,¥400,圆满完成,创意就是生产力,计划开发十个景泰蓝礼品（糖果盒，花瓶，水杯，茶叶罐，手镯，京剧玩偶等，还没完全确定），礼品定位是现代，年轻，时尚新潮的礼品，在自有的淘宝店上销售，走高端定制的路线，目前需要一个线上营销的策划方案。方案内容，字数没有具体限制，主要希望能提供好的营销想法（点子）。,2021.08.02,2021.09.24,任务编号：947633,￥ 400,15,小狼hati文创工作室,https://shop.epwk.com/3gd2mq02gner/,￥ 400,,,,,,,,,,,,,,,,,,,,,,,,
【活动策划】38女神节卖的生蚝微信小程序活动文案征集,https://task.epwk.com/922097/,1375人,11人,¥100,圆满完成,干饭人人上人,我们是专卖生蚝的微信小程序商城，策划一次女神节活动，撰写10字+的活动标题及30+字的活动文案，要求突出女神节特点，ci激购买欲望。活动标题：_____________(“38女神节”)活动文案：____________________(“活动文案”）活动说明：（固定的不需要改）1. 2021年3月5日~2021年3月8日，活动期间在本商城购买的生蚝，每箱多送2斤！2. 同城当天到，中午12点前下单，当天打捞、洗净，配送到家。3. 外地订单，中午12点前下单，当天打捞、洗净，快递发出。,2021.03.03,2021.03.08,任务编号：922097,￥ 100,14,木木琉璃,https://task.epwk.com/javascript:;,￥ 100,,,,,,,,,,,,,,,,,,,,,,,,
【品牌策划】牙科产品商标取名,https://task.epwk.com/837593/,2228人,27人,¥100,圆满完成,o5d32ec1baac8a,取商标名2个1.牙科产品商标名称，注册地美国。开头可以带s不带也行。2.包包，手袋，沙发套，家纺之类，注册地美国。要求名字响亮好记,2020.02.20,2020.08.13,任务编号：837593,￥ 100,31,_四脚吞金兽,https://task.epwk.com/javascript:;,￥ 100,,,,,,,,,,,,,,,,,,,,,,,,
【整合营销】餐厅的全年营销策划点梳理,https://task.epwk.com/824430/,1977人,7人,¥200,圆满完成,老王的生意圈,餐厅定位：创意餐厅有特色的钓虾场作为核心竞争力热菜人均消费100-120火锅人均消费50-80文案需求：宣传和推广尽量以低成本推广费用的形式来制定活动，可以更多的用菜品或钓虾互动营销的形式，或者其他更好的营销方式来。全年春节，新年元旦，中秋，国庆大节日需要有更吸引人的地方，小节气和小周末需要有创意性的互动方式增加客户粘性。要求：1、方案内容要细致，细分到每一个具体执行的环节和注意事项。2、会员方面的营销3、自来客方面的营销4、员工积极性调动的营销请针对以上4点给出自己策划点，最好搭配一些可实行的档案或明细。,2019.12.22,2020.01.14,任务编号：824430,￥ 200,7,今天也没变成玩偶呢,https://shop.epwk.com/z2nkz986pnqy/,￥ 200,,,,,,,,,,,,,,,,,,,,,,,,
【整合营销】如何快速精准找女主播,https://task.epwk.com/735284/,2726人,25人,¥100,圆满完成,托付梦想,我是传媒公司，想寻找一个点子，能够迅速找到主播核实的女性人群。,2019.04.15,2019.05.21,任务编号：735284,￥ 100,32,mtx521,https://task.epwk.com/javascript:;,￥ 100,,,,,,,,,,,,,,,,,,,,,,,,
【活动策划】整理活动内容，修饰优化内容,https://task.epwk.com/708894/,4548人,32人,¥500,圆满完成,o5aa627de59f7f,整理活动内容，修饰优化内容,2019.02.03,2019.03.03,任务编号：708894,￥ 500,37,岩淞视觉设计工作室,https://shop.epwk.com/2j5xoyer05xm/,￥ 500,,,,,,,,,,,,,,,,,,,,,,,,
【问卷调查】关于少女内衣的几个小问题，期待你的回答！,https://task.epwk.com/684216/,4764人,20人,¥300,圆满完成,策联社团,关于少女内衣的几个小问题，期待你的回答！1. 青春期发育的胸部对少女带来的影响有哪些？2. 少女内衣需要解决的痛点是什么？3. 少女对少女文胸最大的需求是什么？4. 对于处于发育中晚期的少女，她们对少女文胸的需求又是什么？又有什么变化？5. 18-25岁，还能称为少女吗？准确的称谓应该是什么？,2018.11.21,2019.05.04,任务编号：684216,￥ 300,20,范小闲,https://task.epwk.com/javascript:;,￥ 300,,,,,,,,,,,,,,,,,,,,,,,,
【问卷调查】关于购买运动内衣的消费者小调查,https://task.epwk.com/652766/,4306人,13人,¥200,圆满完成,策联社团,对于爱好运动的女性来说，运动内衣必不可少。那么，请回答下面2个问题：1.在你穿过的运动内衣中，有发现哪些不好的地方？2.在购买运动内衣时，你最看重的是它的什么功能或者效果？或者你希望它能够解决你的什么需求？请仔细认真详细的回答！*  如果是男性参与者，可以询问自己的妻子、女朋友、身边的女性朋友、同事等,2018.08.24,2018.10.07,任务编号：652766,￥ 200,13,YIPINWEIKEEE,https://task.epwk.com/javascript:;,￥ 200,,,,,,,,,,,,,,,,,,,,,,,,
【征集点子】黄页网站找核心卖点,https://task.epwk.com/642000/,4081人,10人,¥100,圆满完成,mf158****0766,要做一个黄页网站，在找核心卖点，希望多提宝贵意见，有起作用的有赏,2018.07.30,2018.08.24,任务编号：642000,￥ 100,15,言而有信,https://shop.epwk.com/9w56e1qzwdv1/,￥ 100,,,,,,,,,,,,,,,,,,,,,,,,
【活动策划】请策划一个七夕情人节大型线下营销活动,https://task.epwk.com/636257/,6106人,11人,¥400,圆满完成,策联社团,说明：请策划一个七夕情人节的有创意、社会参与度高、传播性广的大型线下事件营销活动，活动的核心围绕“吻”来进行。目的：强化“吻”的印象，扩大事件影响力，成为七夕这一天的头条大事件要求：1.大型活动，能成为大事件，能造成一定的轰动效果2.有创意，好操作，好执行3.社会参与度高，人人都可以参与4.自带流量传播（人们愿意自动拍照、发朋友圈、口口相传等）5.可结合线上互联网进行推广,2018.07.12,2018.08.05,任务编号：636257,￥ 400,15,YIPINWEIKEEE,https://task.epwk.com/javascript:;,￥ 400,,,,,,,,,,,,,,,,,,,,,,,,
【品牌策划】品牌故事撰写,https://task.epwk.com/624429/,5471人,52人,¥500,圆满完成,伯乐,公司简介：公司成立于2014年，主产床上用品，需求：品牌故事撰写，达到包装目的品牌名：皇后娘娘1定位：皇后娘娘主打中国风床上用品以及婚庆家纺市场特色品牌字数：100字以上,2018.06.10,2018.11.20,任务编号：624429,￥ 500,57,小木兔工作室,https://task.epwk.com/javascript:;,￥ 500,,,,,,,,,,,,,,,,,,,,,,,,
【营销解决方案】餐饮食品公司起名,https://task.epwk.com/624289/,3492人,46人,¥500,圆满完成,neil_ho,"四川私房麻辣卤味小吃名称征集，本公司位于成都。                            经营介绍： 主营卤味小吃，也有钵钵鸡，像四川的廖记棒棒鸡，或者北京的热辣生活，目标客群：20-35岁。                    产品主要三类：                                            1、藤椒系列的冷吃串串、像乐山钵钵鸡                            2、有私房卤制的独家配方也有私房炒制肉类零食，香辣猪蹄、麻辣小龙虾球、冷吃牛肉、冷吃兔3、有可以带回家佐餐的夫妻肺片、酸辣蹄花、藤椒乌鸡等要求：                                    1、从名字能联想到品类或相关特性2、一听就知道是品牌名3、听得出（不用谐音字）记得住（有记忆点）愿意说（易传播）4、避免和知名的名字太相似                            知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2018.06.09,2019.02.10,任务编号：624289,￥ 500,55,极思视觉,https://task.epwk.com/javascript:;,￥ 500,,,,,,,,,,,,,,,,,,,,,,,,
【征集点子】广告语点子征集,https://task.epwk.com/595763/,4950人,54人,¥200,圆满完成,o5aba379799dd1,公司主营动力锂电池，注册商标为：“礼能”，现征集广告语。要求：1、一句话，应包含公司商标，易记易读2、广告语应与能源或电池相关3、广告语不得出现较大歧意4、最长不超过20字,2018.03.27,2018.04.19,任务编号：595763,￥ 200,80,o5915c66db7d6d,https://task.epwk.com/javascript:;,￥ 200,,,,,,,,,,,,,,,,,,,,,,,,
【征集点子】全民拍广告语征集,https://task.epwk.com/582639/,5257人,40人,¥100,圆满完成,lgd073,全民拍广告语征集1、全民拍：全民参与二手、资产拍卖的意思；2、宗旨：降低二手、资产的交易费用（成本）；3、二手和资产交易的现状：二手房交易基本上是通过中介进行，中介费用在2%-3%，二手车交易（含瓜子二手车之类的网上中介）费用在3%以上，二手手机、二手家具、二手电器通过二手市场成本在10%以上。4、目标一：将二手交易和资产交易的综合成本降低至1%以下；       目标二：每年为用户节省2000亿二手交易费用，同时为股东和合作伙伴创造1000亿的利润。要求：能突出平台特点和我们的服务，语言简洁；           能用用户的语言来表达,2018.02.16,2018.03.19,任务编号：582639,￥ 100,47,shede,https://task.epwk.com/javascript:;,￥ 100,,,,,,,,,,,,,,,,,,,,,,,,
【问卷调查】【洞察】业主！请问你为什么购买灯饰时会选择水晶灯？,https://task.epwk.com/531277/,5228人,24人,¥600,圆满完成,策联社团,现在有很多豪华别墅、精装商品房、酒店、会所等都喜欢购置水晶灯。现在你就是业主，请问：1、你为什么会需要选购水晶灯饰？2、你在购买水晶灯时所关注的因素有哪些？3、你的潜在需求（消费动机）是什么？4、你认为水晶灯饰最让人烦恼的问题点是什么?5、假如你向朋友推荐我们的品牌，你是怎么说的？谢谢你的用心！,2017.09.02,2018.02.07,任务编号：531277,￥ 600,24,极思视觉,https://task.epwk.com/javascript:;,￥ 600,,,,,,,,,,,,,,,,,,,,,,,,
【活动策划】活动策划提案/方案,https://task.epwk.com/482510/,2626人,10人,¥200,圆满完成,CharlieSaMa,品牌设计公司需要做一次线下推广；主要目的：是推广公司的服务；目标人群：需要品牌设计的公司、企业或个人。,2017.03.11,2017.03.16,任务编号：482510,￥ 200,10,不二策划/网络工作室,https://shop.epwk.com/qgdmjjeordke/,￥ 200,,,,,,,,,,,,,,,,,,,,,,,,
【活动策划】篮球夏令营结尾活动方案策划,https://task.epwk.com/435479/,3926人,14人,¥200,圆满完成,epwkdxm,情况介绍：    1、篮球夏令营，总共有40名学生，从一年级到六年级，还有几个初一初二学生；其中有2名女生；    2、课程主要为篮球基础，一个暑假20次课，一节课两个小时，都是下午2：30到4：30结束；帮助学生从不会运球、投篮到现在能够完成基本篮球动作；策划要求：    1、分4组学生进行比赛，10人/组设1小队长；突出团队氛围；    2、时间为：下午2：30到4：00为比赛时间；4:00到4:30为颁奖时间；    3、比赛场地为室内    4、安全注意事项；流程；,2016.07.21,2016.08.05,任务编号：435479,￥ 200,17,一品营销,https://task.epwk.com/javascript:;,￥ 200,,,,,,,,,,,,,,,,,,,,,,,,
【活动策划】征集高端生日酒会策划,https://task.epwk.com/425849/,2515人,8人,¥200,圆满完成,mf138****8602,生日对象女性50岁，企业家夫人。到场200人左右。全部都是企业家及其夫人。需要策划案。有不清楚可联系微信号：519788905,2016.06.05,2016.06.23,任务编号：425849,￥ 200,9,mf13525553514,https://task.epwk.com/javascript:;,￥ 200,,,,,,,,,,,,,,,,,,,,,,,,
【活动策划】凯翼X3上市活动形式征集,https://task.epwk.com/405898/,5777人,9人,"¥4,000",圆满完成,凯翼汽车,一、企业介绍：（一）品牌介绍：凯翼汽车以“年轻、创新、本真”的态度，致力于打造年轻人喜爱的智能互联汽车。通过互联网思维，以客户需求为中心，整合全球优势资源，轻资产运营。2016年将有X3V3等代表凯翼智能互联的全新产品面向市场。（二）品牌受众年龄主要在20-32岁，年轻的网上一代，ta们与互联网科技发展同步成长，沐浴在各类科技成果之中，生活已无法离开网络，这种背景和成长环境让ta们向往自由生活、渴望证明自己，同时更乐于让所有人关注自身的存在，ta们就是这个时代的骄子！（三）“凯翼+你 一起造车”中国首家提出众包造车理念的车企，凯翼众包是一种顺势而为的全新造车理念，行业首个以人人制造的全新模式，凯翼众包以“用户思维”为导向，以“主动的最佳体验价值”为核心，以向大众全面开放技术研发平台为基础，共同打造一款真正符合消费者需求的产品。 二、产品介绍凯翼X3是汇聚了年轻时尚外观内饰、智能互联车机系统的凯翼首款智能互联SUV；（一）产品受众特征：年轻、活力；注重自我价值的实现；注重个性、向往时尚；熟悉并喜欢互联网生活；兼顾日常家庭生活；喜欢户外、有一定的越野需求。（二）产品优势：1、外观：意大利GS汽车设计公司打造（GS设计师洛威·维赫米斯赫曾设计法拉利458，被誉为掌控汽车流线时尚的天才）；德国工艺仪表设计；动感时尚的车身腰线；鹰眼式车灯展现凯翼DNA；中控无按键设计。 2、智能互联：10.1苹果共线高清多点触控屏、7寸TFT屏；智能人工交互；云端数据与车机数据分析、主动提示车主行为；验证APP自助安装；降噪净化智能语控；车载WIFI；凯立德情景导航、360°鸟瞰实景泊车及行车记录；云平台智能盲区监测、车道偏离预警等行车辅助；私人医生式手机APP远程控制、诊断系统。 3、科技卖点：标配无钥匙进入；鹰眼一体式光导大灯；LED光导立体尾灯；无钥匙一键启动PEPS；多模式EPS电子助力；顶级车身稳定系统ESP；红色动感刹车卡钳；独立液晶温控显示屏；全黑或双色内饰可选；仪表台全软触包裹；小牛皮多功能方向盘；胎压监测。 4、品质卖点百万公里三高极限验证（极寒极热高原）；行业翘楚战略合作、研发（富士康、科大讯飞、中国电信等）；智能互联整车同步开发；中汽研联合开发整车性能；国家级试验中心技术支撑；成熟ACTECO发动机；沃尔沃共用传动系统；家轿式后独立多连杆悬架。 三、征集内容凯翼X3上市活动形式 四、征集要求1、作品需从产品、品牌、目标消费者等层面进行深度挖掘后进行创意和策略方面的设计与制定；2、活动形式更创新、更年轻化、参与感强、互动性强，契合品牌调性与产品特征，能够提升消费者对于凯翼品牌及产品的好感度，从而为产品上市奠定良好的基础；3、产品上市活动形式不少于三种；4、提交作品规格：图片为300dpiJPG图，文字为word形式。 五、征集时间2月24日-3月16日 六、奖励设置一等奖1名：3000元/人优秀奖2名：500元/人（注：奖金为税前） 咨询联系QQ：2768098019,2016.02.22,2016.05.13,任务编号：405898,￥ 4000,10,xdfswyyg,https://task.epwk.com/javascript:;,￥ 4000,,,,,,,,,,,,,,,,,,,,,,,,
