标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,任务类型
【视频定制】宠物门安装视频制作,https://task.epwk.com/1098795/,1947人,1人,¥7500,圆满完成,o5dc0e3c3581bf,我们是生产商，这款产品是宠物门，产品分为三款，一款为滑动门（装在类似于阳台的滑动玻璃门上），一款为入门体（安装在门上的），一款为如墙体（安装在墙上面的），主要是制作安装的视频，产品的三维模型我们都有，下方有类似的安装视频，可以参考,2024-12-09,2025.01.13,任务编号：1098795,7500.0,21天,河北省-秦皇岛市-昌黎县,秦皇岛一点动漫,https://shop.epwk.com/3gd2mv87wner/,秦皇岛一点动漫,出售服务,https://shop.epwk.com/3gd2mv87wner/chushou/,个人,六品,52分,总 1 次中标，交易总金额,￥7500.00,秦皇岛一点动漫,,个性视频定制,"￥5000
            /件",超燃MV/混剪,价格面议,爱看的创意短视频,价格面议,真情剧微电影,"￥20000
            /次",视频定制
【影视拍摄】精油产品的宣传视频拍摄首付款,https://task.epwk.com/1098627/,124人,1人,¥4760,圆满完成,k2131****59,"称呼：王先生所在行业:日化组织性质:公司地区:广东省,深圳市（服务商限深圳）需求:精油产品的宣传视频拍摄，厂家需求，大概几十秒的，文案我们出个大纲，具体沟通下，可以寄产品拍摄完成时间:再定预算:报价联系备注 微信号是手机号",2024-12-06,2024.12.06,任务编号：1098627,4760.0,15天,广东省-深圳市,匠心光影新媒体（深圳）有限公司,https://shop.epwk.com/9w56e4v67dv1/,匠心光影新媒体（深圳）有限公司,出售服务,https://shop.epwk.com/9w56e4v67dv1/chushou/,企业,七品,39分,,,匠心光影新媒体（深圳）有限公司,,企业文化宣传片,价格面议,,,,,,,影视拍摄
【剪辑服务】需要个人剪辑师,https://task.epwk.com/1097898/,867人,1人,¥700,圆满完成,o5f6d607cb1281,需要个人剪辑师 可以接这个活3.05 复制打开短视频渠道代运营，看看【懂车帝视线的作品】价格战下的东风本田、日产，用13个亿换销量？,2024-11-28,2024.12.02,任务编号：1097898,700.0,5天,河北省-唐山市,安生工作室,https://shop.epwk.com/zqdpl2g6on1v/,安生工作室,出售服务,https://shop.epwk.com/zqdpl2g6on1v/chushou/,个人,七品,55分,总 5 次中标，交易总金额,￥1569.50,安生工作室,,【产品文案】,价格面议,【产品拍摄】,价格面议,【字幕处理】,价格面议,【视频配音】,价格面议,剪辑服务
【剪辑服务】每周30条短视频,https://task.epwk.com/1097815/,5549人,6人,¥480,圆满完成,威辅BvuVg,需要成熟的剪辑师，有创意学习力强，合作之前发作品看看，如果没问题，可以先合作几个作品，满意后长期合作。因为我人在国外，没办法接电话，请加我微信沟通。谢谢,2024-11-28,2024.12.23,任务编号：1097815,480.0,"3天,3天,2天,1天,7天,1天","河南省-郑州市,山东省-青岛市,云南省-昆明市-市辖区,安徽省-铜陵市,湖北省-武汉市",亿帆文创,https://shop.epwk.com/78dljrwl95lx/,亿帆文创,出售服务,https://shop.epwk.com/78dljrwl95lx/chushou/,企业,五品,55分,总 13 次中标，交易总金额,￥9601.00,亿帆文创,,商业宣传设计服务,"￥100
            /页",营销推广内容营销,"￥5
            /组",商业策划营销软文,"￥30
            /组",企业策划商业推广,"￥500
            /次",剪辑服务
【视频定制】60岁生日大屏滚动视频制作,https://task.epwk.com/1097241/,932人,1人,¥200,圆满完成,o5c7c7db28f20e,"设计制作要求：1、大气、简洁、题材配乐等均需符合60岁生日用;2、图片分版块共60张左右，时间要求3分钟左右;3、大屏为横屏，制作时竖图片可酌情剪裁或采用合理布局;4、素材中有两段小视频，酌情剪裁，要求不影响整体效果;5、所有素材使用后删除，所有素材及成品须保密，不允许发布流出；6、素材密码联系本人后索取，设计制作有需要调整的，另行沟通免费修改。7、素材打包链接：https://pan.baidu.com/s/1uvsm-xIcS-GI5MByCt9zhw?pwd=dgq8 提取码：dgq8知识产权说明：1、所设计制作的视频为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2024-11-20,2024.11.27,任务编号：1097241,200.0,1天,陕西省-西安市,识亿品牌顾问,https://shop.epwk.com/qgdmjo32qdke/,识亿品牌顾问,出售服务,https://shop.epwk.com/qgdmjo32qdke/chushou/,企业,五品,19分,,,识亿品牌顾问,,视觉传达设计,"￥998
            /起",特效制作/AIGC,"￥3999
            /起",品牌整合/营销策划,"￥888
            /起",动画制作/产品渲染,"￥1998
            /起",视频定制
【剪辑服务】官方大赛项目的5个视频剪辑,https://task.epwk.com/1095245/,879人,1人,¥999,圆满完成,vitorru,官方大赛项目的5个视频剪辑 具体按照谈好剪辑制作,2024-10-29,2024.12.12,任务编号：1095245,999.0,1天,四川省-成都市,澜图工作室,https://shop.epwk.com/89dvg1144dl2/,澜图工作室,出售服务,https://shop.epwk.com/89dvg1144dl2/chushou/,个人,七品,37分,,,澜图工作室,,,,,,,,,,剪辑服务
【剪辑服务】提供文案思路，素材，需剪辑,https://task.epwk.com/1094240/,554人,1人,¥210,圆满完成,水上景色,提供文案思路，素材，需剪辑，长期合作,2024-10-17,2024.10.17,任务编号：1094240,210.0,7天,河北省-唐山市,安生工作室,https://shop.epwk.com/zqdpl2g6on1v/,安生工作室,出售服务,https://shop.epwk.com/zqdpl2g6on1v/chushou/,个人,七品,55分,总 5 次中标，交易总金额,￥1569.50,安生工作室,,【产品文案】,价格面议,【产品拍摄】,价格面议,【字幕处理】,价格面议,【视频配音】,价格面议,剪辑服务
【剪辑服务】研学回顾视频优化,https://task.epwk.com/1093786/,524人,1人,¥100,圆满完成,E企航2pp7Q,"研学回顾视频优化。已在剪映初步制作视频，需要进行优化，添加特效或转场等，字幕优化，标题呈现形式优化，让整个回顾视频显得大气,视频长度5分钟。提供剪映草稿进行优化剪辑",2024-10-12,2024.10.18,任务编号：1093786,100.0,2天,四川省-成都市,澜图工作室,https://shop.epwk.com/89dvg1144dl2/,澜图工作室,出售服务,https://shop.epwk.com/89dvg1144dl2/chushou/,个人,七品,37分,,,澜图工作室,,,,,,,,,,剪辑服务
【产品视频】儿童用品拍摄 首付款,https://task.epwk.com/1093345/,257人,1人,¥600,圆满完成,vitorru,儿童用品拍摄制作含一位模特，谈好合作者，具体按约定,2024-10-08,2024.10.12,任务编号：1093345,600.0,1天,河南省-郑州市,阙歌影视制作服务商,https://shop.epwk.com/09drjyrk653w/,阙歌影视制作服务商,出售服务,https://shop.epwk.com/09drjyrk653w/chushou/,企业,四品,61分,总 39 次中标，交易总金额,￥8849.46,阙歌影视制作服务商,,品牌战略规划,"￥1999
            /起",企业全网优化,"￥999
            /起",企业品牌设计,"￥199
            /起",品牌广告制作,"￥1000
            /起",产品视频
【产品视频】儿童用品拍摄 尾款,https://task.epwk.com/1093346/,702人,1人,¥2400,圆满完成,vitorru,儿童用品拍摄制作含一位模特，谈好合作者，具体按约定,2024-10-08,2024.12.13,任务编号：1093346,2400.0,15天,河南省-郑州市,阙歌影视制作服务商,https://shop.epwk.com/09drjyrk653w/,阙歌影视制作服务商,出售服务,https://shop.epwk.com/09drjyrk653w/chushou/,企业,四品,61分,总 39 次中标，交易总金额,￥8849.46,阙歌影视制作服务商,,品牌战略规划,"￥1999
            /起",企业全网优化,"￥999
            /起",企业品牌设计,"￥199
            /起",品牌广告制作,"￥1000
            /起",产品视频
【二维动画】动画制作一期款,https://task.epwk.com/1092767/,193人,1人,¥2000,圆满完成,k7936****12,项目:动画制作称呼:陈总 地区:湖北武汉需求:动画制作，要跟参考的视频一樣的等級，具体详谈已谈好，勿扰,2024-09-26,2024.09.27,任务编号：1092767,2000.0,1天,天津市-市辖区,天津领跃传媒&琦锐广告设计,https://shop.epwk.com/v0n1xwov257y/,天津领跃传媒&琦锐广告设计,出售服务,https://shop.epwk.com/v0n1xwov257y/chushou/,企业,六品,61分,总 10 次中标，交易总金额,￥8425.00,天津领跃传媒&琦锐广告设计,,定制包装设计,"￥800
            /件",三维动画制作,价格面议,二维动画制作,价格面议,宣传片制作,价格面议,二维动画
【MV/混剪】图书的拍摄剪辑 要求做过图书划线视频 带价来,https://task.epwk.com/1091678/,728人,1人,¥240,圆满完成,高地密码GuB80,我需要图书的拍摄剪辑 要求做过图书划线视频 带价来需求视频分为两种1.真人录好的视频二次加工2.创作混剪向，混剪视频我们自己大部分可以提供脚本。我们提供样书和卖点。我们可以给寄样书，会把需要划线的句子都列出来，你们去拍摄 划线视频 封面视频 翻书视频 和进行剪辑,2024-09-12,2024.09.16,任务编号：1091678,240.0,3天,山东省-淄博市,卓益工作室,https://shop.epwk.com/2j5xo4go95xm/,卓益工作室,出售服务,https://shop.epwk.com/2j5xo4go95xm/chushou/,个人,八品,36分,,,卓益工作室,,,,,,,,,,MV/混剪
【剪辑服务】穿搭视频剪辑,https://task.epwk.com/1091544/,823人,1人,¥100,圆满完成,威勒尼kRmxw,大概时长7-8秒，就一个便装穿搭视频剪辑,2024-09-11,2024.09.11,任务编号：1091544,100.0,1天,广西-柳州市,柳州奕影传媒科技有限公司,https://shop.epwk.com/j7n38jq9l5e1/,柳州奕影传媒科技有限公司,出售服务,https://shop.epwk.com/j7n38jq9l5e1/chushou/,企业,九品,37分,,,柳州奕影传媒科技有限公司,,,,,,,,,,剪辑服务
【产品视频】产品视频拍摄,https://task.epwk.com/1091522/,1050人,1人,¥3500,圆满完成,vitorru,产品视频拍摄，具体按照谈好的拍摄,2024-09-10,2024.12.23,任务编号：1091522,3500.0,7天,浙江省-杭州市,杭州霓影华视影视文化有限公司,https://shop.epwk.com/9w56eqe3kdv1/,杭州霓影华视影视文化有限公司,出售服务,https://shop.epwk.com/9w56eqe3kdv1/chushou/,企业,六品,42分,,,杭州霓影华视影视文化有限公司,,活动摄影摄像 直播,"￥299
            /组",产品宣传片,"￥99
            /组",企业宣传片 宣传片 工业4.0企业宣传片 政企宣传片,"￥199
            /组",,,产品视频
【产品视频】衣架收纳架的主图视频拍摄确定合作者,https://task.epwk.com/1091052/,391人,1人,¥1000,圆满完成,vitorru,称呼:邱经理地区:福州（服务商地域不限）需求:衣架收纳架的主图视频拍摄 需要之前有拍摄过类似的家居产品 提供案例  可以寄产品   30秒以内提供视频参考 预算1000以内备注 微信号是手机号,2024-09-04,2024.10.21,任务编号：1091052,1000.0,15天,河南省-郑州市,阙歌影视制作服务商,https://shop.epwk.com/09drjyrk653w/,阙歌影视制作服务商,出售服务,https://shop.epwk.com/09drjyrk653w/chushou/,企业,四品,61分,总 39 次中标，交易总金额,￥8849.46,阙歌影视制作服务商,,品牌战略规划,"￥1999
            /起",企业全网优化,"￥999
            /起",企业品牌设计,"￥199
            /起",品牌广告制作,"￥1000
            /起",产品视频
【剪辑服务】自己拍摄vloge，帮忙剪辑,https://task.epwk.com/1089920/,1446人,3人,¥250,圆满完成,龙致恩TgcZB,自己拍摄vloge，帮忙剪辑，可长期合作,2024-08-20,2024.08.26,任务编号：1089920,250.0,"5天,1天","山东省-滨州市,四川省-南充市",HR传媒,https://shop.epwk.com/81n41g9qlnp6/,HR传媒,出售服务,https://shop.epwk.com/81n41g9qlnp6/chushou/,个人,七品,37分,,,HR传媒,,短视频（拍摄/剪辑）,"￥500
            /起",小红书视频（拍摄/剪辑）,"￥500
            /起",淘宝短视频剪辑,"￥500
            /起",短视频点赞视频（拍摄/剪辑）,"￥500
            /起",剪辑服务
【剪辑服务】会议预热宣传片视频剪辑,https://task.epwk.com/1089785/,573人,2人,¥500,圆满完成,至盛movHm,会议预热宣传片视频剪辑，，时长2分钟，文案由我们提供，具体需求详谈,2024-08-19,2024.08.27,任务编号：1089785,500.0,"4天,400天","上海市-市辖区,广东省-珠海市",JCB Studio,https://shop.epwk.com/0jnek9vpynv3/,JCB Studio,出售服务,https://shop.epwk.com/0jnek9vpynv3/chushou/,工作室,八品,53分,总 2 次中标，交易总金额,￥1000.00,JCB Studio,,TVC制作服务,价格面议,,,,,,,剪辑服务
【视频定制】公司前台视频内容,https://task.epwk.com/1089761/,938人,2人,¥500,圆满完成,惟优社pImEH,由于公司LOGO更新，公司前台视频需要更新。要求如下：公司是LED显示屏生产商，主要做海外市场，参考网址www.fantaled.net。附件是原来公司的视频，以及公司新LOGO作参考。参考视频背景也可参考https://youtu.be/fdQ1EgGxrYU?si=8ZDKn-AZRomGx-F5时长1分钟左右。需注意视频分辨率比例，分辨率需和原公司视频相同，或者按照该视频的比例。颜色要丰富，效果要绚丽，再融合logo和文字的变化文字全部是英文，单词内容可参考原前台宣传视频（WELCOME TO INNOVATION TECHNOLOGY WELCOME TO FANTALED ）。,2024-08-19,2024.09.04,任务编号：1089761,500.0,5天,上海市-市辖区,JCB Studio,https://shop.epwk.com/0jnek9vpynv3/,JCB Studio,出售服务,https://shop.epwk.com/0jnek9vpynv3/chushou/,工作室,八品,53分,总 2 次中标，交易总金额,￥1000.00,JCB Studio,,TVC制作服务,价格面议,,,,,,,视频定制
【MV/混剪】短视频剪辑,https://task.epwk.com/1088843/,1755人,2人,¥500,圆满完成,自由人00007,视频时间20-30秒，我提供素材和脚本，按照脚本减就可以了,2024-08-08,2024.08.12,任务编号：1088843,500.0,3天,山东省-滨州市-滨城区,HR传媒,https://shop.epwk.com/81n41g9qlnp6/,HR传媒,出售服务,https://shop.epwk.com/81n41g9qlnp6/chushou/,个人,七品,37分,,,HR传媒,,短视频（拍摄/剪辑）,"￥500
            /起",小红书视频（拍摄/剪辑）,"￥500
            /起",淘宝短视频剪辑,"￥500
            /起",短视频点赞视频（拍摄/剪辑）,"￥500
            /起",MV/混剪
【剪辑服务】一分钟沙龙会视频剪辑,https://task.epwk.com/1088503/,1493人,2人,¥400,圆满完成,极品堂btZ7B,一分钟沙龙会视频剪辑。100多个视频元素。店内播放。,2024-08-05,2024.08.15,任务编号：1088503,400.0,10天,山东省-济南市,鲸语 科技,https://shop.epwk.com/j7n38j1935e1/,鲸语 科技,出售服务,https://shop.epwk.com/j7n38j1935e1/chushou/,企业,四品,63分,总 10 次中标，交易总金额,￥2.14万,鲸语 科技,,APP软件开发,"￥1000
            /起",小程序软件开发,"￥1000
            /起",SAAS区块链开发,"￥1000
            /起",ERP系统开发,"￥1000
            /起",剪辑服务
【影视拍摄】介绍小程序的视频拍摄,https://task.epwk.com/1086946/,287人,1人,¥600,圆满完成,k2994****14,"称呼:罗总地区:昆明市,（服务商地域不限）需求:视频拍摄，需要把我们这个律师事务所小程序的功能描述一下。最好是真人出镜效果好一点。时长未定，具体详谈预算:2000元内备注 微信号是手机号",2024-07-19,2024.07.25,任务编号：1086946,600.0,7天,河北省-唐山市,慧域工作室,https://shop.epwk.com/m7d7wozxp5q8/,慧域工作室,出售服务,https://shop.epwk.com/m7d7wozxp5q8/chushou/,工作室,五品,53分,总 24 次中标，交易总金额,￥1.45万,慧域工作室,,,,,,,,,,影视拍摄
【三维动画】环保设备动画设计,https://task.epwk.com/1084595/,420人,1人,¥9000,圆满完成,V领1S9HW,环保设备动画设计，以双方协商好的为准。,2024-06-27,2024.06.28,任务编号：1084595,9000.0,45天,天津市-市辖区,润世设计,https://shop.epwk.com/0z5o4xe2xnjq/,润世设计,出售服务,https://shop.epwk.com/0z5o4xe2xnjq/chushou/,个人,四品,37分,,,润世设计,,,,,,,,,,三维动画
【视频定制】DY或视频号短视频制作（福建省）,https://task.epwk.com/1084438/,1860人,1人,¥3200,圆满完成,南阳食品市场部,新产品上市，计划制作系列短视频在企业短视频平台号和视频公众号上发布。发布时间：7月-9月，每月4条，即每周一条，共计12条。短视频风格：热点跟拍、产品餐饮终端应用，素材剪辑等形式均可。预算不高，欢迎小团队或个人接单,2024-06-26,2024.09.10,任务编号：1084438,3200.0,10天,河北省-唐山市,慧域工作室,https://shop.epwk.com/m7d7wozxp5q8/,慧域工作室,出售服务,https://shop.epwk.com/m7d7wozxp5q8/chushou/,工作室,五品,53分,总 24 次中标，交易总金额,￥1.45万,慧域工作室,,,,,,,,,,视频定制
【剪辑服务】视频剪辑 熟悉游戏视频制作,https://task.epwk.com/1083678/,3732人,1人,¥150,圆满完成,全企手s0sxe,如题，视频素材时长较长，是日常游戏录屏，一共大约在一小时左右。按照要求剪辑，配合指定BGM卡点，整体风格幽默，能达到让人怀疑精神状态的程度，浓缩精华，成品时长5~10分钟区间内。,2024-06-19,2024.07.15,任务编号：1083678,150.0,3天,河北省-唐山市-路北区,慧域工作室,https://shop.epwk.com/m7d7wozxp5q8/,慧域工作室,出售服务,https://shop.epwk.com/m7d7wozxp5q8/chushou/,工作室,五品,53分,总 24 次中标，交易总金额,￥1.45万,慧域工作室,,,,,,,,,,剪辑服务
【剪辑服务】产品的体验和解说的短视频平台认证视频,https://task.epwk.com/1078030/,2279人,2人,¥100,圆满完成,开设堂P3CwJ,体验我们的产品。我会简单的给你说下逻辑，然后你需要优化文案，提高文案质量和视频剪辑的质量。,2024-04-23,2024.05.25,任务编号：1078030,100.0,"3天,5天","河北省-唐山市-路北区,山东省-临沂市",慧域工作室,https://shop.epwk.com/m7d7wozxp5q8/,慧域工作室,出售服务,https://shop.epwk.com/m7d7wozxp5q8/chushou/,工作室,五品,53分,总 24 次中标，交易总金额,￥1.45万,慧域工作室,,,,,,,,,,剪辑服务
"【剪辑服务】提供样片素材脚本,套模板做一分半以内的短视频",https://task.epwk.com/1075203/,1636人,4人,¥150,圆满完成,唯派通xHktL,"提供片头片尾,素材脚本,需要套模板(可以提供样片源文件,用一样的模板),视频时长一分半以内",2024-03-25,2024.03.29,任务编号：1075203,150.0,"1天,1天,1天,1天","辽宁省-铁岭市,江西省-南昌市,湖南省-长沙市,广东省-深圳市",拾光工作室,https://shop.epwk.com/omdwkl24rdrp/,拾光工作室,出售服务,https://shop.epwk.com/omdwkl24rdrp/chushou/,个人,七品,40分,,,拾光工作室,,3D效果图设计,价格面议,各类视频剪辑,价格面议,,,,,剪辑服务
【影视拍摄】塔夏亲子家园宣传拍摄（已确定合作）,https://task.epwk.com/1074379/,187人,1人,¥5400,圆满完成,vitorru,称呼:谭女士地区:广东江门需求:经营有中药诊所，还有一个20亩左右的花园，那个花园叫塔夏家园，做亲子课堂游，让家长孩子和谐相处，一期是两三天，主要是沉浸在田野里，场地也是远离城市的，宣传片需要长期合作，就是要多方面那种，比如建设时期，我们自己的思考讨论，我们日常的种植，就像是以成长的视角来看的纪录片，拍出自然的美，自然的力量，不是很想要以人为主题，而是我这个项目作为主体，像是在成长一样。一点点建设起来，第一期亲子课堂，然后后续很多，见证一个主张亲近大自然，与大自然沉浸相处，正确养育小孩，快乐地成长的家园成长起来备注：按双方合同为准,2024-03-18,2024.03.18,任务编号：1074379,5400.0,7天,广东省-深圳市,深圳市导影文化传媒有限公司,https://shop.epwk.com/78n96yokonkv/,深圳市导影文化传媒有限公司,出售服务,https://shop.epwk.com/78n96yokonkv/chushou/,企业,四品,39分,,,深圳市导影文化传媒有限公司,,VIS品牌视觉体系,价格面议,企业宣传片系列,价格面议,广告片宣传系列,价格面议,三维动画宣传系列,价格面议,影视拍摄
【影视拍摄】固体饮料产品拍摄,https://task.epwk.com/1073535/,178人,1人,¥900,圆满完成,vitorru,"称呼:黎先生 地区:江西省,赣州市已经谈好合作，根据双方约定合同协助",2024-03-11,2024.03.25,任务编号：1073535,900.0,5天,河北省-唐山市,慧域工作室,https://shop.epwk.com/m7d7wozxp5q8/,慧域工作室,出售服务,https://shop.epwk.com/m7d7wozxp5q8/chushou/,工作室,五品,53分,总 24 次中标，交易总金额,￥1.45万,慧域工作室,,,,,,,,,,影视拍摄
