标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【DeepSeek】智能客服系统需求,https://task.epwk.com/1119632/,28人,1人,¥10000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI课程培训】实用的Python编程AI课程培训,https://task.epwk.com/1119631/,28人,1人,1万-2万元,圆满完成,招标,k6356****9,Python编程的AI课程培训。希望课程从基础语法教起，涵盖数据结构、函数、模块等知识。能用 AI 进行实例演示和代码纠错，布置适量作业并给予详细批改反馈。,2025.02.14,2025.03.05,任务编号：1119631,￥20000,8天,山西-太原市-市辖区,o60ee5c95d80c4,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【私有化部署】企业智能办公大模型私有化部署,https://task.epwk.com/1119714/,26人,1人,¥3000,圆满完成,雇佣,k7161****6,"1、需将智能办公大模型私有化部署，助力企业办公效率提升。
2、实现智能文档处理、会议纪要生成、邮件智能回复等功能。
3、能与企业现有办公系统集成，数据本地存储，保障安全，对模型定期更新优化，适配企业业务发展。",2025.02.11,2025.03.01,任务编号：1119714,￥3000,7天,山东-临淄市-市辖区,兮风夜影,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据分析】AI数据分析软件开发,https://task.epwk.com/1119630/,35人,2人,2万-5万元,圆满完成,招标,k4183****2,"称呼:陈先生
地区:上海
需求:AI数据分析软件开发，B2B加密货币增涨趋势的分析，类似股票分析软件，要上海或者周边的技术公司联系，12.13号要面谈的，具体详谈",2025.02.11,2025.03.01,任务编号：1119630,"￥50000,￥50000","9天,9天","广东-深圳市-市辖区,山西-太原市-市辖区",浅末工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他人工智能】RPROTEUS仿真原理图和程序文件,https://task.epwk.com/1122732/,22人,0人,¥100,投标中,雇佣,,在哔哩哔哩上面有十个视频，用RPROTEUS仿真原理图和程序文件。发图片和视频给我,2025.05.17,,任务编号：1122732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【人脸识别】ai换脸直播软件,https://task.epwk.com/1122480/,94人,0人,1000-3000元,投标中,招标,,联系人：朱先生需求：ai换脸直播软件源码 只要源码开源(方便二开)，预算 2000 加急,2025.05.15,,任务编号：1122480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】一键选股,https://task.epwk.com/1121371/,60人,1人,¥2000,待验收,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图像识别】反向图片检索,https://task.epwk.com/1120044/,286人,2人,3000-5000元,工作中,招标,,根据拍的2D照片，检索数据库里面的图片，做对比给反馈信息，细节电话沟通,2025.04.23,,任务编号：1120044,￥5000,15天,北京市-北京市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图像识别】识别液压表盘制作,https://task.epwk.com/1117480/,467人,5人,5000-10000元,选标中,招标,,"识别类似表盘的刻度,根据照片识别结果",2025.04.03,,任务编号：1117480,￥8000,60天,广东省-广州市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图像识别】AGV小车,https://task.epwk.com/1089088/,230人,1人,¥10,待验收,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据处理】对图片表格进行OCR识别并转换格表头,https://task.epwk.com/1118194/,310人,3人,1000-3000元,圆满完成,招标,黑鹰00一品,开发一个自动化的程序，每天将十多份不同格式的图片报价格进行OCR识别，并转换为指定表头的数据格式，以markdown格式保存。图片格式的报价表和数据样式见附件。,2025.04.10,2025.05.09,任务编号：1118194,￥1500,15天,浙江省-嘉兴市,塞坦科技,https://shop.epwk.com/j7n38j8425e1/,塞坦科技,出售服务,https://shop.epwk.com/j7n38j8425e1/chushou/,企业,五品,64分,总 5 次中标，交易总金额,￥1.64万,塞坦科技,,仓库管理系统WMS,价格面议,AI工业视觉,价格面议,客户关系管理系统CRM,价格面议,企业信息系统,价格面议,教育信息化系统,价格面议,电子商务平台,价格面议,app软件开发,价格面议,erp系统开发,价格面议,软件定制开发,价格面议
【AI接口】视频大模型开发,https://task.epwk.com/1117899/,407人,1人,5000-10000元,圆满完成,招标,ppt达人孙文,生成数字人,2025.04.08,2025.04.08,任务编号：1117899,￥6000,2天,上海市-市辖区,创码天地,https://shop.epwk.com/rp5z4vygwdx3/,创码天地,出售服务,https://shop.epwk.com/rp5z4vygwdx3/chushou/,个人,五品,57分,总 5 次中标，交易总金额,￥1.24万,创码天地,,,,,,,,,,,,,,,,,,,
【大模型应用】AI大模型的软件开发,https://task.epwk.com/1119719/,123人,1人,¥50000,圆满完成,雇佣,k2797****1,"称呼:刘先生
地区:北京
需求:有做过或者现在的AI捜索  AI场景  或者AI大模型、职场社交等方面的案例，有案例的话，提供一下模版产品需求文档，或者产品模型，前端页面或者后台管理系统的，最好是北京的技术公司联系，杭州、深圳、或者其他城市的AI大模型团队有经验做的好都可以，具体详谈",2025.03.14,2025.03.30,任务编号：1119719,￥50000,10天,辽宁-沈阳市-市辖区,故事老酒,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI战略】制造业智能化转型AI战略,https://task.epwk.com/1119641/,7人,1人,¥15000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【智能体训练】法律问答智能体训练,https://task.epwk.com/1119640/,52人,1人,5000-10000元,圆满完成,招标,k1999****0,"1、我需要训练一个法律问答智能体。
2、得让它熟悉各类法律法规，像民法、刑法等。
3、能精准解答常见法律问题，如合同纠纷、劳动争议等。",2025.03.05,2025.03.21,任务编号：1119640,￥10000,7天,广东-广州市-市辖区,霸气横秋,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI模型训练】AI大模型训练,https://task.epwk.com/1119639/,89人,1人,2万-5万元,圆满完成,招标,k6226****5,擅长AI大模型训练，AI开发，或者AI问诊的团队联系，要求北京，上海，广州，南京，合肥的技术公司联系，项目比较急,2025.03.04,2025.03.20,任务编号：1119639,￥50000,10天,江西-南昌市-市辖区,浪漫使者,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI服务咨询】电商运营AI服务,https://task.epwk.com/1119718/,51人,1人,¥5000,圆满完成,雇佣,k9765****7,想找电商AI服务咨询，能分析店铺数据，像流量、转化率等，找出问题并给优化方案。能提供选品建议，制定营销推广策略。,2025.03.01,2025.03.16,任务编号：1119718,￥5000,5天,湖南-岳阳市-市辖区,caijunxiong,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【DeepSeek】智能客服系统需求,https://task.epwk.com/1119632/,28人,1人,¥10000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI课程培训】实用的Python编程AI课程培训,https://task.epwk.com/1119631/,28人,1人,1万-2万元,圆满完成,招标,k6356****9,Python编程的AI课程培训。希望课程从基础语法教起，涵盖数据结构、函数、模块等知识。能用 AI 进行实例演示和代码纠错，布置适量作业并给予详细批改反馈。,2025.02.14,2025.03.05,任务编号：1119631,￥20000,8天,山西-太原市-市辖区,o60ee5c95d80c4,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【私有化部署】企业智能办公大模型私有化部署,https://task.epwk.com/1119714/,26人,1人,¥3000,圆满完成,雇佣,k7161****6,"1、需将智能办公大模型私有化部署，助力企业办公效率提升。
2、实现智能文档处理、会议纪要生成、邮件智能回复等功能。
3、能与企业现有办公系统集成，数据本地存储，保障安全，对模型定期更新优化，适配企业业务发展。",2025.02.11,2025.03.01,任务编号：1119714,￥3000,7天,山东-临淄市-市辖区,兮风夜影,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据分析】AI数据分析软件开发,https://task.epwk.com/1119630/,35人,2人,2万-5万元,圆满完成,招标,k4183****2,"称呼:陈先生
地区:上海
需求:AI数据分析软件开发，B2B加密货币增涨趋势的分析，类似股票分析软件，要上海或者周边的技术公司联系，12.13号要面谈的，具体详谈",2025.02.11,2025.03.01,任务编号：1119630,"￥50000,￥50000","9天,9天","广东-深圳市-市辖区,山西-太原市-市辖区",浅末工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据处理】ai智能客服,https://task.epwk.com/1107749/,244人,1人,¥5000,圆满完成,雇佣,mf186****0643,工作内容：		一、知识库问答功能		1）建立知识库指导我司人员进行维护和更新		2）初步完成知识库问答的校准调优工作，并且传授我司人员后续如何操作		3）封装可被方便调用的对外调用的接口		二、ai与系统内数据库表结合完成		1）具备数据库表内字段和信息的简单查询和统计能力		2）具备能够调用外部接口的能力	工作要求：		交付的文档清晰准确，代码不侵权。培训我司人员能够对智能客服进行运维及升级。及时协助解决我司人员对接过程中遇到的问题。,2025.02.10,2025.02.20,任务编号：1107749,￥5000,5天,山东省-淄博市,果田科技 100%好评服务商,https://shop.epwk.com/j7n38x8pe5e1/,果田科技 100%好评服务商,出售服务,https://shop.epwk.com/j7n38x8pe5e1/chushou/,企业,一品,82分,总 67 次中标，交易总金额,￥37.77万,果田科技 100%好评服务商,,各平台APP开发,价格面议,各平台小程序开发,价格面议,,,,,,,,,,,,,,
【AI实战项目】电商个性化推荐的AI实战项目,https://task.epwk.com/1119717/,15人,1人,5000-10000元,圆满完成,招标,k4743****0,"1、我们电商平台要做个性化推荐项目。
2、需分析用户浏览、购买等行为数据，精准推荐商品。
3、推荐结果要符合用户喜好，提高购买转化率。
4、能实时更新推荐内容，适应商品上新和用户兴趣变化，提升用户购物体验和平台销售额。",2025.02.08,2025.03.01,任务编号：1119717,￥10000,7天,湖北-武汉市-市辖区,o5859e2d96a608,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI知识库】医疗知识AI知识库,https://task.epwk.com/1119637/,48人,1人,5000-10000元,圆满完成,招标,k4842****8,"1、需要搭建一个医疗知识的AI知识库
2、里面需要包含中西医知识，包括各类疾病的症状、诊断、治疗方法等详细信息。
3、要求能定期更新医学最新知识，确保知识的时效性和准确性",2025.02.07,2025.02.23,任务编号：1119637,￥10000,7天,福建-福州市-市辖区,木雪涯设计工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【智能体模板】市场调研智能体模板,https://task.epwk.com/1119635/,11人,1人,5000-10000元,圆满完成,招标,k2327****8,"1、需要一个能收集分析市场数据，像消费者偏好、竞品信息等的市场调研智能体模板。
2、要求能生成清晰的调研报告，有数据图表和结论建议。
3、模板要灵活可定制，能适应不同行业和调研规模，还得操作简单，方便我快速上手做调研。",2025.02.06,2025.02.22,任务编号：1119635,￥10000,7天,云南-昆明市-市辖区,十分逆天,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据标注】植物种类识别图像标注需求,https://task.epwk.com/1119636/,101人,2人,1000-3000元,圆满完成,招标,k8357****0,"1、我们做植物种类识别研究，需标注植物图像数据。
2、标注出图像中植物的名称，要依据专业知识准确区分。
3、标注过程严格审核，确保标注数据质量，为植物识别算法训练提供可靠数据支撑。",2025.02.06,2025.02.23,任务编号：1119636,"￥3000,￥3000","9天,9天","山东-青岛市-市辖区,浙江-杭州市-市辖区",風雨英雄,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI聊天机器人】开发一款智能客服机器人（AI电话机器人）,https://task.epwk.com/1119716/,18人,2人,5000-10000元,圆满完成,招标,k5799****1,"功能要求：
1、设置话术
2、录音功能，机器人语音功能
3、导入手机号
4、自动拨号
5、会员功能
6、支付功能
7、拨号时间设置功能",2025.02.05,2025.03.01,任务编号：1119716,"￥10000,￥10000","7天,7天","青海-西宁市-市辖区,陕西-宝鸡市-市辖区",横行天下有限公司,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【Chatgpt】智能教育应用的需求,https://task.epwk.com/1119715/,28人,2人,1万-2万元,圆满完成,招标,k4824****2,"接入 ChatGPT 模型开发智能教育应用，为学生提供学习辅导,能解答各科学习问题，提供详细的解题思路和步骤。根据学生的学习情况推荐个性化的学习资料和练习题目，帮助学生提高学习成绩。",2025.02.02,2025.03.01,任务编号：1119715,"￥20000,￥20000","8天,7天","河北-石家庄市-市辖区,湖北-武汉市-市辖区",无敌帅锅,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI系统集成】AI视频监管系统开发,https://task.epwk.com/1119629/,15人,2人,2万-5万元,圆满完成,招标,k5564****5,"项目:AI视频监管系统开发
称呼:王先生
地区:江西南昌
需求::AI视频监管系统开发，主要是企业管理系统，数据统计系统这块的，具体详谈，公司内部项目",2025.02.01,2025.02.17,任务编号：1119629,"￥50000,￥50000","7天,7天","上海市-上海市-市辖区,广东-广州市-市辖区",极感传媒,https://shop.epwk.com/rp5z4vlm7dx3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI接口】公文分析（二期款）,https://task.epwk.com/1105171/,2043人,1人,¥48000,圆满完成,雇佣,威高qzkLo,1、大语言模型部署按照信创标准国产化离线版部署使用需要交付源码和技术支持2、通过大语言模型对甲方要求的文件能够进行提取分析word 文件、pdf文件、excel文件和TXT文件等常用的办公文档文件格式，并根据用户需求运用大语言模型及神经网络等技术进行训练，优化识别结果3、支持大文件（文件长度为100页以上）文字内容进行分析,2025.01.20,2025.03.06,任务编号：1105171,￥48000,15天,北京市-北京市,老郭的AI程序铺,https://shop.epwk.com/78dlj0elx5lx/,老郭的AI程序铺,出售服务,https://shop.epwk.com/78dlj0elx5lx/chushou/,个人,一品,62分,总 3 次中标，交易总金额,￥21.2万,老郭的AI程序铺,,,,,,,,,,,,,,,,,,,
【AIGC技术】生成视频内容软件,https://task.epwk.com/1116485/,50人,1人,¥30000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】实时进行语音识别,https://task.epwk.com/1116489/,356人,1人,1万-2万元,圆满完成,招标,k3483****2,满足实时性要求高的场景，如在线语音翻译、语音直播字幕生成等。在极短时间内完成语音到文字的转换，延迟控制在 0.5 秒以内，保证语音与文字输出同步，提升用户实时交互体验。,2025.01.17,2025.02.12,任务编号：1116489,￥18000,10天,山东-临淄市-市辖区,兮风夜影,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【模型调优】推荐系统大模型调优,https://task.epwk.com/1119626/,23人,1人,5000-10000元,圆满完成,招标,k1434****6,结合用户行为、偏好等多源数据，优化算法。使推荐列表中用户感兴趣内容的比例提升至 60% 以上，缩短冷启动时间，提高推荐的多样性和新颖性，提升用户点击率。,2025.01.15,2025.02.01,任务编号：1119626,￥10000,7天,辽宁-大连市-市辖区,彼岸红尘,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】特定性领域的语音识别功能,https://task.epwk.com/1116488/,4人,1人,¥10000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI数字人】智能AI和数字分身,https://task.epwk.com/1119625/,24人,2人,1万-2万元,圆满完成,招标,k1268****7,"称呼:王总
地区:苏州限苏州和上海地区
需求：公司今年要做智能AI和数字分身。。需要有AI智能经验和案例，专业比较懂的对接

预算:联系报价",2025.01.14,2025.02.01,任务编号：1119625,"￥20000,￥20000","8天,10天","陕西-西安市-市辖区,福建-福州市-市辖区",皓月烟云,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【智能体搭建】AI智能体+图片识别开发,https://task.epwk.com/1119713/,58人,1人,¥3000,圆满完成,雇佣,k4873****3,"答题软件为手机APP,可以链接pc电脑投屏进行抢题-答题
要求:
1.会简单利用智能体,如coze等,回答的问题300-400字左右,星盘方面的知识,通俗易懂即可。
2.自动化抢题答题脚本,pc端,手机端都可以,手机可root。",2025.01.13,2025.02.03,任务编号：1119713,￥3000,7天,陕西-宝鸡市-市辖区,夢里飄雪,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AIGC技术】代码生成需求,https://task.epwk.com/1116484/,8人,1人,¥20000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AIGC技术】音频合成软件,https://task.epwk.com/1116483/,265人,1人,¥15000,圆满完成,雇佣,k4743****0,合成逼真、自然的语音音频，支持多种音色、语调、语速设置。可根据文本内容准确表达情感，适用于有声读物、智能客服、语音助手等场景，为用户提供优质的听觉体验。,2025.01.11,2025.01.20,任务编号：1116483,￥15000,8天,云南-昆明市-市辖区,十分逆天,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI视频创作】ai视频拼接的开发,https://task.epwk.com/1119712/,21人,1人,¥5000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】嘈杂环境语音识别需求,https://task.epwk.com/1116487/,2人,1人,¥8000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【智能客服】AI智能客服开发,https://task.epwk.com/1119711/,7人,1人,¥10000,圆满完成,雇佣,k2246****0,"称呼:詹先生
地区:福建省,泉州市
需求:电器类的，原本有上线小程序，开发语言是python；需要擅长有AI的技术对接
完成时间:看沟通情况
预算:具体详聊
备注：手机微信同号",2025.01.11,2025.02.07,任务编号：1119711,￥10000,7天,广西-南宁市-市辖区,颠覆風雲,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI设计】Logo设计AI助手开发,https://task.epwk.com/1119710/,67人,1人,¥8000,圆满完成,雇佣,k1282****3,"1、能依用户输入的行业、风格、色彩偏好等生成多样logo方案
2、具备图形编辑功能，可微调logo细节
3、输出高分辨率logo图，支持常见格式，提供创意阐释，交互界面友好",2025.01.10,2025.01.25,任务编号：1119710,￥8000,7天,吉林-长春市-市辖区,凉辰梦瑾,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】对常见性方言可以进行识别,https://task.epwk.com/1116491/,904人,1人,¥13000,圆满完成,雇佣,k6697****1,专注于多种方言的语音识别，如粤语、四川话、闽南语等。能够精准识别不同地区方言的独特发音、词汇和语法，适应复杂多变的方言环境，助力方言文化传承、地方特色语音服务等场景应用。,2025.01.09,2025.01.21,任务编号：1116491,￥13000,10天,江西-南昌市-市辖区,浪漫使者,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI算法开发】AI软件开发,https://task.epwk.com/1119628/,20人,2人,1万-2万元,圆满完成,招标,k6697****1,"称呼:张总
地区:北京
需求:要求有基础的，可以演示的，包含：机器学习框架、机器视觉、AI推荐引擎、AI决策支持、知识图谱、公文写作引擎还有大模型，项目已经拿下了，雇主负责采购的，具体详谈",2025.01.07,2025.01.30,任务编号：1119628,"￥20,￥18000","7天,7天","北京市-北京市-市辖区,四川-成都市-市辖区",野创传媒,https://shop.epwk.com/9w56e4j13dv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】需要快速识别通用语言的功能,https://task.epwk.com/1116490/,286人,1人,¥10000,圆满完成,雇佣,k2938****5,实现对普通话、英语等常见语言的高精准识别，能准确转化各种日常对话、会议发言等语音内容，识别准确率达 98% 以上，对不同口音、语速有良好适应性，降低错误率，为语音转文字记录、智能语音交互等提供坚实基础。,2025.01.07,2025.01.20,任务编号：1116490,￥10000,7天,河北-石家庄市-市辖区,无敌帅锅,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI写作】AI智能论文写作系统开发,https://task.epwk.com/1119627/,125人,2人,1万-2万元,圆满完成,招标,k1750****3,"类似于“小微智能论文”系统，（百度搜索“小微智能论文”），由于时间紧急，需要有现成的源码交易，不需要定制开发。
主要的功能有：
客户端：用户根据不同的毕业论文要求，自动生成论文，并且可以下载
服务端：可以查看生成的论文，并且修改，以及其他一些基础功能，可以对接chatgpt，文心一言语。
客服：有单独的客服可以处理用户的问题。
技术要求：
前端：uniapp
后端：java",2025.01.06,2025.01.24,任务编号：1119627,"￥20000,￥15000","7天,7天","江苏-南京市-市辖区,贵州-贵阳市-市辖区",南京星逸文化传媒有限公司,https://shop.epwk.com/p05qj3rwrdev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】车载语音助手语音识别模块开发,https://task.epwk.com/1115825/,2人,1人,¥8000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AIGC技术】需要图像生成技术,https://task.epwk.com/1116486/,550人,1人,1万-2万元,圆满完成,招标,k5112****9,实现高质量、多样化的图像生成，能根据用户输入的文本描述，快速生成对应风格的图像，如风景、人物、动漫等。图像分辨率高，色彩还原度好，细节丰富，满足广告、游戏、影视等行业的素材制作需求。,2025.01.05,2025.01.20,任务编号：1116486,￥20000,8天,广东-深圳市-市辖区,浅末工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】智能客服语音识别系统开发,https://task.epwk.com/1115824/,4人,1人,¥6000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】教育场景语音识别开发,https://task.epwk.com/1115821/,4人,1人,¥8000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
