标题,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【店铺厂房】办公区装修设计和施工图,331人,2人,1000-3000元,圆满完成,店铺厂房,k3332****18,项目:办公区装修设计和施工图称呼:邬先生地区:湖南郴州（服务商地域不限需求:一个100平左右的办公区，需要装修设计和施工图预算:1000元,2023-02-03,2023.02.07,任务编号：1028216,1000.0,"5天,3天","河南省-郑州市,河北省-石家庄市-裕华区",方木空间设计,企业,六品,44分,,,办公室，办公场所，会议室，接待室，茶室，效果图设计,"￥50
            /平方",服装店，专卖店，购物中心服饰配饰专卖店,"￥50
            /平方",娱乐空间，KTV，酒吧，美容院，酒吧场合效果图,"￥50
            /平方",餐饮效果图设计,"￥50
            /平方",教育场所效果图绘制,"￥50
            /M²",教育空间施工图绘制,"￥15
            /M²",餐饮空间施工图绘制,"￥10
            /M²",工装施工图绘制,"￥10
            /M²",,
【效果图设计】店面形象效果设计,952人,4人,1000元以内,圆满完成,效果图设计,威主力y0262,店面形象效果设计，具体细节详谈,2022-10-27,2023.01.04,任务编号：1019480,400.0,"2天,2天,3天,10天","江苏省-常州市,甘肃省-庆阳市-西峰区,广东省-东莞市-东莞市,广东省-中山市",豹思创意设计有限公司,企业,五品,44分,,,摄影摄像 / 视频制作,"￥500
            /起",展览展示策划,"￥1000
            /起",文化创意策划,"￥1000
            /起",VI / LOGO / 包装 / 画册 海报 / 单页,"￥500
            /起",包装 / 画册 / 海报 单页 / 折页 / 印刷,"￥300
            /起",产品外观设计 / 产品结构设计 / 产品建模 / 渲染,"￥500
            /起",,,,,,
【施工图设计】客厅走廊星空顶1:1施工点位图,537人,1人,1000元以内,圆满完成,施工图设计,优创45V93,需要安照1:1的做出来施工图，1.5MM，1.0MM，0.75MM的圆圈（光纤点位），比例是由粗到细1:3:6三种点位数量，密度按照我发的视频来才参考就可以。（接单后发视频给你）110X530的走廊  流星3条就可以120X120cm的走廊，一条流星就可以。需要设计者有自己的设计在里面，我说的只是大方向，细节自己把握。,2022-10-19,2022.11.13,任务编号：1018592,600.0,7天,河南省-郑州市-中原区,河南礼诚装饰工程有限公司,企业,七品,61分,总 3 次中标，交易总金额,￥2100.00,现代风格设计,"￥50
            /㎡",3D效果图制作,"￥30
            /㎡",,,,,,,,,,,,,,
【效果图设计】室内装修效果图设计,2725人,1人,1000-3000元,圆满完成,效果图设计,o5aa654862f2ab,110平，不可以用酷家乐软件等玩具,2022-08-24,2022.11.11,任务编号：1011421,2300.0,6天,上海市-市辖区,现代前沿设计,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】办公环境墙面设计,1529人,4人,3000-5000元,圆满完成,效果图设计,多财多亿,1、色调以红色为主，突出“服务企业”的服务理念，可加入互联网行业元素。2、名称：中企服中小企业服务中心（山东）有限公司。简称：中企服。行业：财税服务，为企业提供财税管理咨询服务。3、高端大气，简约时尚，符合当前设计趋势，易识别。4、需注明材质/材料，方便后续装修实施。5、附件是之前设计的，感觉不太显档次，可再次基础上优化。,2022-08-18,2022.09.27,任务编号：1010576,4800.0,"10天,7天,5天","陕西省-西安市-未央区,上海市-市辖区,浙江省-杭州市-拱墅区",鲸叹号●爆款产品包装设计,企业,一品,109分,总 198 次中标，交易总金额,￥34.6万,VI设计/品牌设计/视觉识别系统/标志应用设计,8000,文创品设计/文创品开发/文创品规划,"￥5000
            /件",品牌策划/文案策划/营销策划/活动策划/广告策划,"￥8000
            /件",吉祥物设计/IP人物设计/插画设计/品牌IP设计,"￥4000
            /件",包装设计/系列包装/产品规划,"￥2980
            /件",logo设计/标志设计/品牌设计/原创设计,"￥1500
            /件",爆款产品包装设计/卖点提炼/爆点策划,"￥5000
            /件",创意包装设计/原创设计/爆款产品,"￥3500
            /件",,
【餐饮饮食】火锅店效果图设计,1158人,5人,1000-3000元,圆满完成,餐饮饮食,韬领6yEMC,需要设计效果图与施工图，一个星期内完成，大概120平需要有经验的,2022-07-25,2022.11.04,任务编号：1007063,1000.0,7天,河南省-郑州市-中原区,河南礼诚装饰工程有限公司,企业,七品,61分,总 3 次中标，交易总金额,￥2100.00,现代风格设计,"￥50
            /㎡",3D效果图制作,"￥30
            /㎡",,,,,,,,,,,,,,
【娱乐休闲】高档汤泉洗浴会所用的更衣柜效果图设计,564人,1人,1000-3000元,圆满完成,娱乐休闲,专客z2RFS,项目：高档汤泉洗浴会所用的更衣柜效果图设计称呼：陈女士地区: 北京，服务商地域不限需求: 高档温泉酒店，高档汤泉洗浴会所用的更衣柜，参考附件。上下加上灯带，看起来比较上档次  要求设计高端、大气预算: 看服务商报价时间：未定备注：微信是手机号,2022-06-16,2022.06.23,任务编号：1000957,2400.0,7天,河南省-郑州市,方木空间设计,企业,六品,44分,,,办公室，办公场所，会议室，接待室，茶室，效果图设计,"￥50
            /平方",服装店，专卖店，购物中心服饰配饰专卖店,"￥50
            /平方",娱乐空间，KTV，酒吧，美容院，酒吧场合效果图,"￥50
            /平方",餐饮效果图设计,"￥50
            /平方",教育场所效果图绘制,"￥50
            /M²",教育空间施工图绘制,"￥15
            /M²",餐饮空间施工图绘制,"￥10
            /M²",工装施工图绘制,"￥10
            /M²",,
【软装设计】自家茶室装修设计,547人,4人,1000元以内,圆满完成,软装设计,k5157****02,"项目:自家茶室装修设计称呼:张女士地区:浙江省,台州市需求:雇主自己有个房间，宽4m，长12m，想装修成为茶室，附上照片，房间出去就是一个小花园，需要设计师出下设计稿",2022-05-13,2022.05.20,任务编号：995905,500.0,"7天,5天","广东省-佛山市-顺德区,河南省-周口市",DF室内设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【店铺厂房】水果店装修设计,367人,1人,5000-10000元,圆满完成,店铺厂房,k3287****10,项目：水果店装修设计称呼：张先生（决策者）地区: 江西宜春，服务商地域不限需求: 190平，需要设计 布局平面图，装修效果图预算: 看服务商报价时间：未定备注：微信是手机号,2022-04-27,2022.05.09,任务编号：993644,5000.0,,,造热文化传播,,,,,,,,,,,,,,,,,,,,,,,
【餐饮饮食】店铺装修设计,819人,2人,5000-10000元,圆满完成,餐饮饮食,克仍斯zfiG4,店铺面积大约260平还有个370平的露台需求：1、夏天做清吧（晚上营业，下午茶也可以考虑）2、冬天做重庆火锅（白天营业）3、风格要求为工业风或者现代风4、考虑到店铺的两个用途，室内灯光可能需要两套5、我所在的地方四季分明，主要是夏天和冬天。6、冬天火锅最多10-12人桌，需要设置全封闭包间和卡座，卡座需要做隔断分割7、需要全套施工图,2022-04-01,2022.04.18,任务编号：989461,8000.0,14天,河南省-郑州市-中原区,方木空间设计,企业,六品,44分,,,办公室，办公场所，会议室，接待室，茶室，效果图设计,"￥50
            /平方",服装店，专卖店，购物中心服饰配饰专卖店,"￥50
            /平方",娱乐空间，KTV，酒吧，美容院，酒吧场合效果图,"￥50
            /平方",餐饮效果图设计,"￥50
            /平方",教育场所效果图绘制,"￥50
            /M²",教育空间施工图绘制,"￥15
            /M²",餐饮空间施工图绘制,"￥10
            /M²",工装施工图绘制,"￥10
            /M²",,
【效果图设计】机房效果图设计,1411人,3人,1000-3000元,圆满完成,效果图设计,花郎,机房面积约120平，需做一版效果图，有CAD图纸，需3D建模，做效果图,2022-02-22,2022.05.18,任务编号：983192,900.0,"4天,7天,6天","黑龙江省-哈尔滨市,浙江省-嘉兴市-海盐县,重庆市-市辖区",屿舟设计,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】现代简约实木风效果图设计,872人,5人,1000-3000元,圆满完成,效果图设计,o620cb0d190c75,1、根据所选的产品完成效果图还原制作。三室两厅,2022-02-16,2022.02.23,任务编号：982404,2000.0,"2天,3天","广西-南宁市,江苏省-苏州市-昆山市",简创壹品视觉设计,,,,,,,,,,,,,,,,,,,,,,,
【新房装修】农村房屋室内装修设计,3733人,3人,5000-10000元,圆满完成,新房装修,一V渡江20NiV,1、农村装修，简洁、大气装潢。2、按照800元/平米控制预算设计。3.、室内装修即可，地板尽量采用瓷砖为主，2/3楼卧室可以采用木地板。4、三楼露台考虑阳光房设计。,2022-02-10,2022.03.17,任务编号：981651,6000.0,20天,海南省-海口市-美兰区,易盛设计,企业,五品,40分,,,室内空间设计,"￥100
            /起",产品包装设计,"￥2000
            /起",产品包装设计,"￥5000
            /起",logo设计,"￥2000
            /起",,,,,,,,,,
【医疗机构】养老院护理中心展示图设计,1349人,3人,1000-3000元,圆满完成,医疗机构,o61e91e93cd513,我有块地想要造一个养老院和护理中心，需要1）全景图 2）俯瞰图 3）平面图  放在PPT 里展示给投资者看，不是项目最终呈现效果，只需三张图作为展示用途,2022-01-20,2022.03.15,任务编号：980059,2500.0,"3天,10天","河南省-郑州市-中原区,广东省-深圳市-福田区",方木空间设计,企业,六品,44分,,,办公室，办公场所，会议室，接待室，茶室，效果图设计,"￥50
            /平方",服装店，专卖店，购物中心服饰配饰专卖店,"￥50
            /平方",娱乐空间，KTV，酒吧，美容院，酒吧场合效果图,"￥50
            /平方",餐饮效果图设计,"￥50
            /平方",教育场所效果图绘制,"￥50
            /M²",教育空间施工图绘制,"￥15
            /M²",餐饮空间施工图绘制,"￥10
            /M²",工装施工图绘制,"￥10
            /M²",,
【施工图设计】室内施工图设计,3152人,8人,1000元以内,圆满完成,施工图设计,钱卫军,2室2厅一卫改3室2厅2卫，需要CAD的可以联系我，个人接单,2022-01-03,2022.07.29,任务编号：977439,300.0,"2天,7天,10天,7天,7天,4天,3天","江苏省-苏州市-昆山市,云南省-昆明市-盘龙区,重庆市-市辖区,四川省-成都市-郫都区,广东省-广州市-黄埔区,黑龙江省-哈尔滨市,广东省-汕头市-金平区",苏州知艺舍工程设计有限公司,企业,九品,40分,,,室内设计施工团队,价格面议,室内设计施工图纸制作,"￥500
            /套",室内设计效果图制作,"￥500
            /套",,,,,,,,,,,,
【娱乐休闲】私人影院做前台设计,351人,1人,1万-2万元,圆满完成,娱乐休闲,k4465****5,私人影院前台区域重新装修，区域不大但需要结合现有沙发和桌椅做整体风格设计,2021-10-11,2021.10.22,任务编号：963089,20000.0,5天,辽宁省-沈阳市-市辖区,室内设计、灯光设计,,,,,,,,,,,,,,,,,,,,,,,
【导视设计】游乐场导视装修设计,290人,1人,5000-10000元,圆满完成,导视设计,k7744****6,主题游乐场导视系统设计与后续的施工落地 ​，有经验的来,2021-10-11,2021.10.21,任务编号：963908,10000.0,5天,江苏省-南通市-市辖区,厚木室内设计,,,,,,,,,,,,,,,,,,,,,,,
【复式设计】复式小户型设计,370人,1人,5000-10000元,圆满完成,复式设计,k9381****3,复式小户型80多平，准备做装修，想要简约风格的装修设计方案,2021-10-11,2021.10.22,任务编号：963929,8000.0,5天,浙江省-宁波市-市辖区,空间设计工作室1,,,,,,,,,,,,,,,,,,,,,,,
【舞台设计】T型舞台的设计方案,437人,2人,1000元以内,圆满完成,舞台设计,k5117****9,公司为庆祝上市成功要办一场晚会，舞台要T型的，求一套舞台设计方案,2021-10-11,2021.10.23,任务编号：963955,1000.0,"6天,6天","山东省-潍坊市-市辖区,江苏省-扬州市-市辖区",银翼效果图设计表现,,,,,,,,,,,,,,,,,,,,,,,
【娱乐休闲】主题密室逃脱装潢设计,356人,1人,1万-2万元,圆满完成,娱乐休闲,k8566****1,恐怖主题的密室逃脱屋，需要做空间结构和装修风格设计，有预留了一些机关，设计的时候需要隐藏起来,2021-10-11,2021.10.22,任务编号：963090,20000.0,4天,湖北省-襄阳市-市辖区,萤火虫设计_独立设计师,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】小区绿化工程造价,1009人,1人,1000-3000元,圆满完成,工程造价,k8817****7,一住宅小区想要对原有绿化进行改造，种一些更好的植物，求绿化改造工程报价,2021-10-11,2021.10.22,任务编号：963331,3000.0,5天,甘肃省-敦煌市-市辖区,k648097966,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】生产车间建设工程造价,2384人,1人,1万-2万元,圆满完成,工程造价,k6706****2,公司要扩大生产规模，在新场地建设生产空间，需要一些新功能，具体详聊,2021-10-11,2021.10.20,任务编号：963329,20000.0,4天,海南省-三亚市-市辖区,桃源创意设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【样板间】别墅区样板间设计,600人,1人,2万-5万元,圆满完成,样板间,k3173****0,别墅群，需做一套别墅的样板间，有做过的联系,2021-10-11,2021.10.22,任务编号：964119,50000.0,4天,重庆市-重庆市-市辖区,所见空间设计,,,,,,,,,,,,,,,,,,,,,,,
【复式设计】200平复式楼房设计,798人,1人,2万-5万元,圆满完成,复式设计,k9381****3,200平左右，复式楼设计，需要整装设计方案,2021-10-11,2021.10.22,任务编号：963931,40000.0,4天,四川省-成都市-市辖区,盛达空间设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】小区体育设施建设工程造价,333人,1人,1000-3000元,圆满完成,工程造价,k8217****9,住宅小区拟新增一些体育设施，希望有专业人士帮忙出一个小工程的报价方案,2021-10-11,2021.10.21,任务编号：963330,3000.0,5天,江苏省-苏州市-市辖区,武功空间设计,,,,,,,,,,,,,,,,,,,,,,,
【医疗机构】中医馆装修设计,295人,1人,1万-2万元,圆满完成,医疗机构,k7161****6,中医馆门诊，已经开了十多年，要重新做室内装修，除了提供效果图最好也能做下空间设计,2021-10-11,2021.10.23,任务编号：964139,20000.0,4天,吉林省-吉林市-市辖区,淄博前景空间设计,,,,,,,,,,,,,,,,,,,,,,,
【复式设计】复式办公楼装修设计,287人,1人,3000-5000元,圆满完成,复式设计,k5990****4,初创公司租了复式的200平办公楼，想要装修一下，求装修布置方案,2021-10-11,2021.10.20,任务编号：963930,5000.0,3天,辽宁省-大连市-市辖区,室内设计 曾,,,,,,,,,,,,,,,,,,,,,,,
【样板间】130㎡无主灯样板间设计,642人,1人,2万-5万元,圆满完成,样板间,k7418****6,130㎡、三室一厅的无主灯样板间设计，风格为意式轻奢风,2021-10-11,2021.10.23,任务编号：964118,40000.0,5天,江西省-上尧市-市辖区,一品空间设计,,,,,,,,,,,,,,,,,,,,,,,
【导视设计】金融机构办公楼导视设计方案,222人,1人,5000-10000元,圆满完成,导视设计,k2254****3,金融机构一楼导视设计，风格偏轻奢风，与办公楼定位一致,2021-10-11,2021.10.24,任务编号：963907,8000.0,5天,吉林省-长春市-市辖区,EATUSE设计,,,,,,,,,,,,,,,,,,,,,,,
【舞台设计】公司活动需要舞台设计,315人,1人,1000-3000元,圆满完成,舞台设计,k1884****8,公司搞了个稍微大型的活动，想用LED屏做舞台设计，要大气些，把这块屏衬托出来,2021-10-10,2021.10.24,任务编号：963950,2000.0,5天,浙江省-杭州市-市辖区,唯你空间设计,,,,,,,,,,,,,,,,,,,,,,,
【导视设计】诊所识别系统、导视设计,286人,1人,5000-10000元,圆满完成,导视设计,k1875****0,儿童医院导视设计，整体要有现代感，又不是去亲切的氛围,2021-10-10,2021.10.20,任务编号：963905,10000.0,5天,辽宁省-大连市-市辖区,大匠康宅,,,,,,,,,,,,,,,,,,,,,,,
【舞台设计】酒店活动舞台设计,358人,1人,1000-3000元,圆满完成,舞台设计,k4548****0,想要一个方便折叠的舞台，尺寸1.22m*2.44m; 1.83m*2.44m,2021-10-10,2021.10.22,任务编号：963952,3000.0,3天,河北省-石家庄市-市辖区,设计胡小2,,,,,,,,,,,,,,,,,,,,,,,
【复式设计】老小区复式小户型翻新,197人,1人,1000-3000元,圆满完成,复式设计,k1935****3,一个老小区的小户型，复式设计，需要翻新，急求方案，预算有限，有意联系,2021-10-10,2021.10.20,任务编号：963927,3000.0,4天,海南省-海口市-市辖区,曲高建筑装饰设计,,,,,,,,,,,,,,,,,,,,,,,
【舞台设计】T台走秀的舞台设计,240人,2人,1000-3000元,圆满完成,舞台设计,k3844****5,我们要举行的T台走秀，先要一个专业的舞台设计,2021-10-10,2021.10.22,任务编号：963951,3000.0,"6天,7天","广西省-桂林市-市辖区,浙江省-温州市-市辖区",张张烘焙甜点设计,,,,,,,,,,,,,,,,,,,,,,,
【医疗机构】体检中心整体装修设计方案,244人,1人,3000-5000元,圆满完成,医疗机构,k9558****1,新成立的体检中心，需要做整体的室内公装设计，最好能偏向于欧美系风格,2021-10-10,2021.10.22,任务编号：962938,4000.0,5天,甘肃省-兰州市-市辖区,共创空间设计,,,,,,,,,,,,,,,,,,,,,,,
【样板间】单身公寓样板间设计,372人,1人,1万-2万元,圆满完成,样板间,k5921****8,loft户型的单身公寓，需要做样板间设计，重点要体现房子的收纳功能,2021-10-10,2021.10.19,任务编号：962934,20000.0,3天,浙江省-绍兴市-市辖区,k365143731,,,,,,,,,,,,,,,,,,,,,,,
【导视设计】影城内部导视设计,179人,1人,5000-10000元,圆满完成,导视设计,k7005****5,影城有四层，需要做每个空间的导视设计，方便客人更快速找到对应的影厅,2021-10-10,2021.10.22,任务编号：963906,10000.0,6天,广西省-柳州市-市辖区,建维青年设计,,,,,,,,,,,,,,,,,,,,,,,
【样板间】精装修样板间设计与施工,372人,1人,2万-5万元,圆满完成,样板间,k7566****7,75平，需要做精装修样板间，并施工，急,2021-10-10,2021.10.22,任务编号：962933,40000.0,5天,安徽省-芜湖市-市辖区,唯東设计,,,,,,,,,,,,,,,,,,,,,,,
【复式设计】创客空间复式楼装修设计,465人,1人,1万-2万元,圆满完成,复式设计,k9508****4,创客空间有500平的复式楼，需要装修，用于后续出租，求方案,2021-10-10,2021.10.24,任务编号：963926,20000.0,5天,北京市-北京市-市辖区,鼎尚空间室内设计,,,,,,,,,,,,,,,,,,,,,,,
【样板间】日式原木风样板间设计装修,355人,1人,2万-5万元,圆满完成,样板间,k3526****3,日式原木风的样板间设计，两室一厅，包施工,2021-10-10,2021.10.21,任务编号：962932,45000.0,5天,山东省-淄博市-市辖区,小飞龙室内设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【医疗机构】医院儿科门诊部装修设计,263人,1人,5000-10000元,圆满完成,医疗机构,k9095****8,医院儿科门诊部候诊厅、走廊需要做装潢设计，要卡通可爱一些,2021-10-10,2021.10.20,任务编号：962937,8000.0,3天,山东省-日照市-市辖区,k212410990,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】仓库改造工程造价,685人,1人,5000-10000元,圆满完成,工程造价,k6226****5,县城拥有一个3000平方米的闲置仓库，打算改造成物流仓库，想知道改造费用大概多少,2021-10-10,2021.10.20,任务编号：963325,10000.0,3天,福建省-泉州市-市辖区,唯你空间设计,,,,,,,,,,,,,,,,,,,,,,,
【医疗机构】连锁药店装修风格设计,379人,1人,1000-3000元,圆满完成,医疗机构,k7619****9,品牌连锁药店，要做整体的门店装潢升级，风格要求现代感一些，需要同步考虑空间利用率,2021-10-10,2021.10.23,任务编号：964137,3000.0,4天,重庆市-重庆市-市辖区,三里-设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】水池建设工程造价,316人,1人,1000-3000元,圆满完成,工程造价,k1837****3,打算在村里建一个蓄水池，需要一份水池建设工程造价方案,2021-10-10,2021.10.22,任务编号：963328,2500.0,5天,贵州省-遵义市-市辖区,DEZ室内空间设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】乡村道路工程造价,625人,1人,5000-10000元,圆满完成,工程造价,k6198****9,要开发乡村旅游，需要对乡村道路进行改造，求改造工程的报价,2021-10-10,2021.10.20,任务编号：963326,8000.0,4天,河北省-邯郸市-市辖区,威臣装饰工程设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】乡镇污水处理工程造价,1066人,1人,1万-2万元,圆满完成,工程造价,k7566****7,乡镇对河流周边污水进行处理，要进绿化、污水处理等，欢迎专业公司报价,2021-10-10,2021.10.21,任务编号：963327,15000.0,4天,山东省-烟台市-市辖区,恒瑾室内设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【样板间】卫浴展厅设计,474人,1人,1万-2万元,圆满完成,样板间,k3305****4,卫浴产品的展厅样板间设计，欧式奢华风,2021-10-10,2021.10.22,任务编号：964116,20000.0,5天,云南省-昆明市-市辖区,设计胡小2,,,,,,,,,,,,,,,,,,,,,,,
【导视设计】艺术馆导视设计,171人,1人,3000-5000元,圆满完成,导视设计,k2567****2,美术艺术馆，日常画展比较多，需要做比较简约、具有人文气息的导视，方便参观者理解,2021-10-09,2021.10.22,任务编号：963922,5000.0,4天,福建省-厦门市-市辖区,餐饮店室内设计,,,,,,,,,,,,,,,,,,,,,,,
【娱乐休闲】临海民宿主题设计,392人,1人,1万-2万元,圆满完成,娱乐休闲,k3526****3,临海独栋别墅，目前已完成基础装修，需要进行软装主题设计，偏向于地中海风格,2021-10-09,2021.10.21,任务编号：967569,15000.0,4天,贵州省-贵阳市-市辖区,幻悟空间设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】建筑物外装修翻新工程造价,312人,1人,1000-3000元,圆满完成,工程造价,k8550****5,城中村拥有出租屋一栋，需要对要建筑物外面整体翻新，需要翻新工程报价,2021-10-09,2021.10.20,任务编号：966828,3000.0,5天,安徽省-马鞍山市-市辖区,格律设计,,,,,,,,,,,,,,,,,,,,,,,
