标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,需求价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【效果图设计】100-300房屋装修设计平面图效果图,https://task.epwk.com/598043/,2896人,12人,¥100,hapag,￥ 100,￥ 100,2018.04.02,这个房子，感觉整体布局不大合理。浪费很多，像厕所就有3个。然后走廊，阳台都没有充分利用等。希望大家能够帮我出谋划策，使得整体布局能够最优化。另外，后期装修，还需要施工效果图。希望总体设计风格：现代简约或加简欧、个性时尚、明亮大方、自然清新。,任务编号：598043,壹点阳光设计工作室,鸿枟装饰
【门头设计】钢铁公司大门设计方案征集,https://task.epwk.com/595215/,3869人,10人,¥600,o5ab8b4b873fa6,￥ 600,￥ 600,2018.03.26,钢铁公司征集大门设计方案草图，一个主门一个侧门，资料以及要求见附件。,任务编号：595215,一撇一捺空间设计,BY15873142460
【餐饮饮食】海外火锅店平面布局图设计及装修效果图设计,https://task.epwk.com/586579/,4315人,6人,"¥1,000",Rongfu,￥ 1000,￥ 1000,2018.03.04,"火锅店位于海外，店面287平米，位于附件中floor plan的B1,进门位置在左边。 后部是厨房（后部正中位置），厕所和储藏室（后部靠上位置）。中部正方形区域是就餐区。前部靠下一边是吧台，靠上一边可以做成包间，中部和后部厨房连接处有隔断墙，需要设计一处作为小料小食自助餐台。就餐区希望做成背靠背卡座的形式，一边或者两边都有，中间放置长桌4-6人桌，计划可以摆20-25桌左右。中间正中有一个承重圆柱，没有办法挪走。初步想法是图纸中部就餐区靠上做成上下向的卡座，靠下做成左右向或者也是上下向的，中间左右向摆成长桌，需要具体专业的建议。装修风格上，希望以深色调为主，简约大气现代，卡座可以是黑色或深色木制，深色瓷砖。火锅店用电磁炉，所以装修图需要标示出插座位置，如果可以，做个大概国内装修预算。",任务编号：586579,丰景设计,花野君的画铺15800372188
【其他家装服务】户型图方案评价修改,https://task.epwk.com/540016/,4914人,12人,¥120,黑鹰00一品,￥ 120,￥ 120,2017.09.29,上次我发布的户型布置方案任务大家提了很多好的建议，让我受益匪浅，我根据这些建议对户型图进行了更改，请大家再帮分析一下新的户型方案图。等户型图方案确定后，我会再发一个做效果图的任务，请大家也多参与。,任务编号：540016,热巧克力,科学筑家●品质非凡——设计感动生活
【其他家装服务】户型布置图评价修改,https://task.epwk.com/538050/,3669人,13人,¥100,黑鹰00一品,￥ 100,￥ 100,2017.09.23,户型布置图修改我们要求在现有平面布置图的基础上进行修改，内容如下：1、对现有平面布置图的布置尺寸进行检查，将布置不合理的地方更改，并做详细说明；2、评估客厅过道偏移的更改是否合理，该方案将主卧的门改在过道中，扩大了主卧的面积，但主卧门正对大门，为了解决对冲的问题，就将客厅的过道偏移，在原过道的位置增加一个屏风做隔断，但这样导致了公共卫生间的面积缩小，这样的改动是否值得？3、评估休闲阳台是否做成封闭式的，请详细说明优缺点；4、评估厨房的更改方案是否合理，该方案是将厨房的宽度由2米缩小成1.5米，同时将厨房扩展到阳台上；另外有一个方案是将阳台宽度扩大，将厨房全部做在阳台上（见图），这两种方案哪种更好，请详细说明；CAD图纸中有户型的原始尺寸图和平面布置图。,任务编号：538050,捨作建筑设计工作室,王亚飞24
【效果图设计】小房间效果图设计,https://task.epwk.com/504907/,4822人,9人,"¥1,000",acan2008,￥ 1000,￥ 1000,2017.05.26,我有一个3.5m*4.5m的空间层高3.2m需要做个小的数字涂鸦画室里面有4个茶几室的可以直接触摸的画板（可以直接理解为可以触摸的电视机），供大家随时信手涂鸦。涂鸦保存的结果直接在房间内的一个A3图纸打印机直接打印出来。请出两套设计风格分开投稿 每稿300元：一种古典式的设计风格 一种梦幻式的设计风格,任务编号：504907,造化如风,智酷设计工作室
【其他家装服务】户型图创意修改设计征集,https://task.epwk.com/496926/,8073人,17人,¥500,qq710****98,￥ 500,￥ 500,2017.04.30,复式楼层户型图创意修改                户型介绍：                   1、房屋高度是5.8米，打算在3米再搭建一层楼板，变成复式的。2、客厅需要挑空，因为楼上窗户小，并且顶楼热，主卧一定要设计在楼下。3、想把厨房设计在楼上 因为楼上采光差。4、楼下打算设计的房间有，主卧、独立的衣帽间、儿童房、大点的卫生间、楼梯。5、楼上打算设计的房间有，客卧、厨房、书房、卫生间、大一点的餐桌。6、就2个人居住 未来最多加个孩子 所以区域不必太多 尽量都发挥都大。 注：图片里包含一张自己设计的 但是感觉还是过于简单 再此之上加以创意也可以的。,任务编号：496926,饭饭设计@_@,昆明众石嘉创文化传播
【效果图设计】火星村建设概念设计方案征集,https://task.epwk.com/448464/,8806人,13人,"¥5,000",epqihua,￥ 5000,￥ 5000,2016.09.28,北京时间28日凌晨3点，SpaceX创始人马斯克在墨西哥瓜达拉哈拉召开的第67届国际宇航大会（IAC）上，作了名为“让人类变成多星球物种”（Making Humans a Multiplanetary Species）的主题演讲，并推出了用于人类火星殖民的“火星运输系统”，SpaceX希望该系统能够将第一批人类移民送往火星。新闻： http://tech.qq.com/a/20160928/007518.htm 畅想一下，如果未来人类真的移居火星，那么供人类居住的火星村该怎么来建设，火星村的标识（LOGO）是什么样，在地球和火星之间来往的火星飞船会长什么样呢？科技的发展，带来了无限的可能。现举办火星村大赛活动，面向全国威客朋友，征集火星村标识（LOGO）、火星村概念设计方案、火星飞船外观概念设计。征集内容：火星村建设方案征集时间：2016年9月28日-10月26日奖项设置：一等奖1名 奖金1500元二等奖2名 奖金750元三等奖3名 奖金500元入围奖4名 奖金125元作品要求：1、火星村概念设计作品指定规格A3（297mm×420mm），上传格式为JPG电子文件，图片分辨率为300dpi，RGB 色彩。（如多张设计图，请保持设计版式横竖一致）。2、火星村概念设计，威客朋友可以充分发挥自己的想象力进行创作，比如火星村是怎么构成，各功能区域组成等。特别说明：火星村大赛交稿任务，请威客不要隐藏交稿，隐藏交稿视为无效交稿；并请按照指定规格提交，承若原创不剽窃或抄袭。相关声明：1、所有投稿作品必须为原创，且未曾以任何形式发表或投稿，不得侵犯他人著作权。凡涉及抄袭、借用等侵权行为的，均由应征者承担相应法律责任；一旦发现将取消其应征资格，所有损失及法律责任由投稿人本人或应征机构承担。 2、所有投稿作品，主办方有权用于公开传播。获奖作品（一二三等奖），我方支付悬赏金额后，即拥有该作品知识产权，包括著作权、使用权和发布权等，有权对设计作品进行修改、组合和应用。3、参加此任务者即被视为同意并遵守以上声明。主办方对本次征集活动拥有最终解释权。火星村标识（LOGO）设计征集： http://www.epwk.com/task/448461/火星飞船外观概念设计征集： http://www.epwk.com/task/448465/火星村建设概念设计方案征集： http://www.epwk.com/task/448464/,任务编号：448464,云鸟DE设计,赣丰工业设计
【别墅设计】新西兰双层别墅设计图制作,https://task.epwk.com/433917/,8088人,18人,"¥2,400",sakura520,￥ 2400,￥ 2400,2016.07.14,请按照以下相关信息出具一张2D设计图，需同时具备3D绘制能力。当2D采纳后，将采取直接雇佣方式另付佣金绘制3D效果图。具体信息：（1）装修风格：西式／欧式／猎户风格（2）2层联体别墅（每层：宽7米，长12米 ）：   一层：客厅；厨房 ；厕所（含洗手池）；客房x1（含洗浴间：马桶＋淋浴）；   二层：客房x1（含洗浴间：马桶＋淋浴）； 主卧x1（含洗浴间：马桶＋淋浴＋浴缸（临湖景或雪山））（3）房屋注意事项：    地点：新西兰   建筑材料：木制房屋   内部要求：注重采光，客厅 (火炉 ＋ 玻璃拉门＋大落地窗); 一层外阳台为BBQ区域   内饰：猎物，鹿角，兽皮地毯,任务编号：433917,F设计事务所,华瑞建筑设计事务所
【单身公寓设计】按需求设计农村房屋,https://task.epwk.com/341386/,8497人,19人,"¥1,300",佳德电脑办公,￥ 1300,￥ 1300,2015.03.28,"按需求设计农村房屋，投稿入围有奖！我老家主屋准备明年翻新房，旧宅地加院子长2400CM*宽1480CM,预计建筑占地面积1800*1480CM的六层房子。并且我手上画有周边环境和布局图，希望按照这般环境给出好的设计！  求大师们自荐啊！",任务编号：341386,智酷设计工作室,mchu520
【其他家装服务】提供两室两厅现代简约风格家装设计图,https://task.epwk.com/284172/,9294人,13人,¥500,张欢one,￥ 500,￥ 500,2014.05.03,"92平米两室两厅现代简约风格家装设计图一、任务要求： 1、 预计装潢资金：硬装方面预定3-5万，尽量用最少的钱多办事。 2、 设计风格：现代简约、明快、简洁、大方、温馨（易打扫） 3、 中标条件： A.必须体现设计师针对此装修独有的设计理念的设计方案。请勿提供简单堆砌模型渲染出的效果图或与本户型无任何相似性的参考图片。 B.符合基本的功能要求及预算要求，切合实际、简约时尚的设计方案。 C.设计师对自己设计的方案根据双方交流能进行合理、及时修改的设计方案。 D、竞标人员可以先出平面布置图和关键的效果图参考。中标作品必须要有施工图。 4、中标后须提供的资料：A、平面图：要求详细注明各工作区和功能区名称；有高差变化时须注明标高。 B、天花吊顶平面图：要求详细注明各顶棚标高，尺寸及材料，布置灯具（节能灯）及设备。 C、立面图：必须含客厅、餐厅，卧室门等，要求：要体现装饰特色，风格，详细注明各个构建尺寸及材料 和安装位置。 D、效果图：客厅，餐厅一起，二个房间各一张，一个卫生间，一个厨房，二个阳台，同时还须计算大概辅料用材及用量。 E、详细施工图纸一套（CAD格式）（平面设计图，吊顶图，地板布置图、强弱电路图（弱电包括电话、网络、电视），开关布置图，插座布置图，排水路图，主要立面图，节点大样图等）， 同时还须计算大概辅料用材及用量。 F、为达到设计效果，必须附有主要的施工工艺说明及施工注意事项的说明资料。 总之，设计方必须给出能让装修队能按图施工的详细资料。 G、强弱电布线图、冷热水管道图，需注明名称及其他信息。 H、设计图纸能够为A3纸张打印出来分辨率的效果图。I、设计师自由发挥部分必须提供主要材料清单。 必须体现设计师针对此装修独有的设计理念的设计方案。请勿提供简单堆砌模型渲染出的效果图或与本户型无任何相似性的参考图片。 对户型的要求，两室两厅户型，采用地暖方式采暖，卧室用复合木地板，餐厅、客厅、厨卫间地面为瓷砖地面（餐厅、客厅地面也可为复合木地板）；主卧室简洁、温馨，客厅简约、大气、整洁，小卧室兼做书房设书柜、书桌（或电脑桌）及床可不设电视；厨房及卫生间须布局合理，墙面为瓷砖，顶面为金属吊顶或铝吊顶：储物柜、鞋柜由设计师设计至合理位置。墙面及顶面基本考虑采用乳胶漆，可根据设计师的自由发挥颜色设置。设计师可以充分发挥想象力，天马行空，但一切需简约为主。你能做到让我拿到你的图纸找工人就能施工就好了。知识产权说明：                 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                     2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品; 本人提供cad格式户型图及水电图，户型图不包含墙体粉刷层",任务编号：284172,金蝉设计工作室,
【软装设计】美同公司走廊文化墙设计,https://task.epwk.com/196794/,14104人,8人,"¥1,200",xingxiaohui2012,￥ 1200,￥ 1200,2012.10.25,美同地产经营介绍： 房产中介代理 内容：公司总部文化墙，总部内部软装设计（已经装修过了，就需要重新装饰），公司店铺设计等联系QQ：454841232设计要求： 1、大气、简洁、新颖，时尚2、有视觉冲击力，醒目易识别3、能体现特色4、附上创意说明。,任务编号：196794,,
【单身公寓设计】自家二楼客厅效果图设计,https://task.epwk.com/196281/,9257人,6人,¥300,xmxmq_cn,￥ 300,￥ 300,2012.10.18,"二楼客厅效果图设计,简洁,大方,大门入口处顶部玄关吊顶，电视背景墙，吧台及罗马柱假门，客厅半吊",任务编号：196281,智酷设计工作室,莘沂的店铺
【软装设计】山东通信公司电梯门形象设计,https://task.epwk.com/157155/,11315人,1人,¥100,cathy.wyan,￥ 100,￥ 100,2011.08.03,"以联通近期主推业务(WO及3G或者热门套餐,分期付款得苹果4手机)为素材,做一个电梯门形象,电梯大概为高2.2米宽1.1米双开
设计要求：
　　 1、大气、简洁、明快;
　　 2、有视觉冲击力，醒目易识别，突出通信品牌元素;
　　 3、能体现特色，LOGO已有。
　　 4、附上创意说明。
　　 知识产权说明：
　　 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;
　　 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：157155,济南艺维装饰设计有限公司,
