标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【整合营销】节能设备融资商业计划书（已确定合作者）,https://task.epwk.com/986466/,462人,1人,1000元以内,圆满完成,o5f6d607cb1281,项目：节能设备融资商业计划书（已确定合作者）称呼：崔先生地区: 不详，服务商地域不限需求: 节能减排行业的节能设备融资商业计划书预算: 看服务商报价时间：未定备注：微信是手机号,2022-03-14,2022.03.14,任务编号：986466,500.0,3天,福建省-莆田市,阿瑞营销推广工作室,https://shop.epwk.com/4rn8qrw89ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合营销
【口碑营销】会议型酒店-大堂吧经营方案撰写,https://task.epwk.com/985812/,250人,1人,1000元以内,圆满完成,创品Oj7CD,会议型酒店-大堂吧(涉及到：酒、茶、蛋糕，咖啡，简餐)全年的经营方案,2022-03-10,2022.03.11,任务编号：985812,300.0,3天,山东省-济南市-槐荫区,阿瑞营销推广工作室,https://shop.epwk.com/4rn8qrw89ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【关键词优化】电子消费产品海外站SEO优化,https://task.epwk.com/959203/,503人,3人,3000-5000元,圆满完成,k2143****6,生产蓝牙耳机、电子礼品、电子娱乐产品的制造企业，刚做好海外站，需要做谷歌的优化,2021-09-20,2021.10.03,任务编号：959203,3500.0,"5天,8天,7天","河北省-张家口市-市辖区,江苏省-扬州市-市辖区,山西省-太原市-市辖区",k499745321,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【口碑营销】寻求保健品口碑营销方案,https://task.epwk.com/959450/,380人,1人,1万-2万元,圆满完成,k7418****6,我们公司主营保健品，有以美颜纤体、健身运动、随手养生、微量元素补等多种品类。面向中青年群体，需要做百度知道问答平台、360搜狗问答、品牌口碑营销，具体细节可详谈,2021-09-17,2021.09.28,任务编号：959450,15000.0,5天,江苏省-南京市-市辖区,k596764147,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【口碑营销】高端母婴奶粉品牌口碑营销,https://task.epwk.com/959324/,478人,3人,1万-2万元,圆满完成,k2856****5,我们的产品是欧美的纯进口婴幼儿奶粉，需要一份口碑营销方案，微信社群营销为主，针对人群：宝妈、孕妈、备孕妈妈,2021-09-16,2021.09.30,任务编号：959324,10000.0,"5天,6天,5天","山东省-青岛市-市辖区,辽宁省-葫芦岛市-市辖区,福建省-福州市-市辖区",k558643400,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【关键词优化】视频直播平台海外网站谷歌推广,https://task.epwk.com/959056/,237人,1人,5000-10000元,圆满完成,k4915****6,类短视频平台认证、快手类的短视频直播平台，主要面向新加坡东南亚区域进行推广，需要提供谷歌全站关键词策略、SEO执行计划,2021-09-16,2021.10.07,任务编号：959056,6500.0,8天,贵州省-贵阳市-市辖区,k250285395,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【网站优化方案】二手车交易网站SEO优化,https://task.epwk.com/959054/,295人,1人,5000-10000元,圆满完成,k5910****1,我们是一个二手车交易网站，需要做网站SEO优化，最好能提供关键词布局策略和外链优化方案,2021-09-15,2021.09.29,任务编号：959054,8500.0,5天,福建省-泉州市-市辖区,k590224159,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【网站优化方案】物流公司展示网站功能更新,https://task.epwk.com/958926/,220人,2人,3000-5000元,圆满完成,k1434****6,一家地方性的小型物流企业，需要对原有的网站做更新优化,2021-09-14,2021.09.30,任务编号：958926,4000.0,"7天,7天","山西省-太原市-市辖区,广东省-汕头市-市辖区",颠覆風雲,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【关键词优化】投资机构海外宣传网站优化,https://task.epwk.com/958925/,245人,1人,2万-5万元,圆满完成,k4664****6,国内的一家投资机构要开展海外投资业务，要对海外宣传网站进行升级优化，要让更多国外客户了解,2021-09-14,2021.09.29,任务编号：958925,30000.0,5天,四川省-绵阳市-市辖区,k771071318,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【网站优化方案】五金制造企业网站功能优化,https://task.epwk.com/958940/,225人,1人,5000-10000元,圆满完成,k3114****6,五金制造企业转型升级，需要做网络营销，征集网站优化方案，欢迎优秀服务商联系,2021-09-14,2021.10.05,任务编号：958940,6000.0,7天,广东省-汕头市-市辖区,酷到招风,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【口碑营销】本地家政小程序网络推广,https://task.epwk.com/958687/,515人,1人,5000-10000元,圆满完成,k2548****8,在深圳当地的一些门户网站、媒体渠道、线下做推广与口碑打造，最好是深圳当地的服务商,2021-09-12,2021.09.28,任务编号：958687,5500.0,7天,浙江省-丽水市-市辖区,k965526017,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【网站优化方案】冲牙器产品推广页面开发,https://task.epwk.com/958839/,471人,1人,3000-5000元,圆满完成,k6093****1,新推出的冲牙器产品，需要做口碑营销和产品推广页面，需要同步做产品页面的SEO优化,2021-09-11,2021.09.28,任务编号：958839,5000.0,8天,黑龙江省-哈尔滨市-市辖区,k831683541,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【关键词优化】房地产公司国外网站优化,https://task.epwk.com/959668/,274人,1人,5000-10000元,圆满完成,k2111****3,房地产企业要进去国外市场，要做网站SEO优化,2021-09-09,2021.09.20,任务编号：959668,8000.0,7天,山东省-青岛市-市辖区,k429943279,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【网站优化方案】美剧网站搜索排名优化方案,https://task.epwk.com/959233/,194人,3人,1000-3000元,圆满完成,k7552****5,美剧视频播放网站需要做搜索引擎优化和关键词排名,2021-09-08,2021.09.23,任务编号：959233,2000.0,"7天,8天,5天","江苏省-扬州市-市辖区,山东省-潍坊市-市辖区,浙江省-绍兴市-市辖区",霸气横秋,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【关键词优化】行车记录仪产品做英文网站优化,https://task.epwk.com/959555/,210人,1人,5000-10000元,圆满完成,k8357****0,专业生产行车记录仪的厂商，面向海外做产品推广，需要做网站架构优化和搜索引擎优化,2021-09-06,2021.09.24,任务编号：959555,6000.0,8天,江苏省-徐州市-市辖区,k782912427,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【网站优化方案】高端牙科品牌全网营销推广,https://task.epwk.com/959205/,251人,1人,5000-10000元,圆满完成,k9095****8,全国连锁的高端牙科品牌需要做线上品牌推广和品类排名，最好能提供完整推广方案,2021-09-05,2021.09.30,任务编号：959205,9000.0,8天,山东省-潍坊市-市辖区,k245057308,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【关键词优化】需要对互联网企业英文官网优化,https://task.epwk.com/959453/,427人,2人,3000-5000元,圆满完成,k6706****2,互联网企业因为拓展国外市场的需要，要对企业英文官网做一些优化,2021-09-04,2021.09.24,任务编号：959453,4300.0,"8天,5天","江西省-上尧市-市辖区,浙江省-温州市-市辖区",k455313395,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【口碑营销】网络整合营销口碑营销外包,https://task.epwk.com/959677/,329人,1人,1000-3000元,圆满完成,k9325****3,手头有一些企业商家网络营销和口碑营销的需求项目，需要外包出去，有经验和兴趣的可详谈,2021-09-04,2021.09.25,任务编号：959677,1500.0,10天,江西省-赣州市-市辖区,k952278264,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【关键词优化】网购平台谷歌SEO优化,https://task.epwk.com/959327/,196人,1人,3000-5000元,圆满完成,k4863****9,类似拼多多的社交网购平台，用户人群主要集中在欧美市场，谷歌站内需要做到电商品类前10名,2021-09-03,2021.09.23,任务编号：959327,5000.0,8天,陕西省-西安市-市辖区,k655592266,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【关键词优化】办公投影仪做谷歌关键词优化,https://task.epwk.com/958618/,205人,1人,3000-5000元,圆满完成,k8953****7,办公用的投影仪产品，主要面向东南亚市场，需要做区域内的谷歌关键词优化,2021-09-01,2021.09.22,任务编号：958618,3000.0,5天,湖南省-长沙市-市辖区,k649983607,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【关键词优化】智能音箱做海外关键词排名,https://task.epwk.com/958684/,366人,1人,5000-10000元,圆满完成,k3272****4,智能音箱产品，需要做谷歌做关键词排名，需要提供英文关键词布局策略,2021-09-01,2021.09.16,任务编号：958684,5000.0,3天,吉林省-吉林市-市辖区,旧人往事,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【网站优化方案】品牌管理咨询网站优化,https://task.epwk.com/958682/,213人,1人,1000-3000元,圆满完成,k2254****3,刚成立不久的品牌管理咨询公司，官网初步做好，请高手帮忙优化,2021-09-01,2021.09.22,任务编号：958682,2500.0,7天,浙江省-台州市-市辖区,k941246030,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【网站优化方案】宠物饮水机新站建设，百科优化,https://task.epwk.com/958755/,184人,3人,3000-5000元,圆满完成,k2215****6,新创立的宠物生活品牌，主要提供宠物智能饮水机，需要做网站建设和百科词条优化,2021-09-01,2021.09.18,任务编号：958755,4500.0,"5天,5天,8天","江苏省-徐州市-市辖区,河南省-郑州市-市辖区,贵州省-贵阳市-市辖区",k517168399,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【关键词优化】医疗器械企业海外网站优化,https://task.epwk.com/958633/,193人,1人,5000-10000元,圆满完成,k1326****3,主要生产面向国外的医疗器械用品，需要对公司海外网站进一步优化，使关键词在谷歌中排名靠前,2021-09-01,2021.09.22,任务编号：958633,7000.0,8天,江苏省-扬州市-市辖区,夢里飄雪,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【关键词优化】健身器材做海外广告投放,https://task.epwk.com/958783/,466人,3人,5000-10000元,圆满完成,k5799****1,健身器材品牌做海外广告投放，以欧洲为主，渠道包括但不限于谷歌、必应，广告类型以搜索引擎、邮件广告为主，具体后续详细沟通,2021-09-01,2021.09.16,任务编号：958783,8500.0,"3天,7天,5天","山东省-青岛市-市辖区,四川省-成都市-市辖区,山东省-日照市-市辖区",k610450024,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【网站优化方案】乡村旅游官网优化,https://task.epwk.com/958631/,185人,1人,1000-3000元,圆满完成,k7893****2,为了吸引更多周边地方的游客，要对现在的乡村旅游官网做升级，预算有限，感兴趣的联系,2021-09-01,2021.09.17,任务编号：958631,1500.0,5天,福建省-泉州市-市辖区,k700848054,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【网站优化方案】装修建材电商平台网站优化,https://task.epwk.com/958404/,224人,1人,5000-10000元,圆满完成,k1728****7,线上装修建材购买平台，需要做整站框架优化和搜索引擎排名,2021-08-30,2021.09.18,任务编号：958404,5500.0,5天,安徽省-芜湖市-市辖区,k928239726,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【关键词优化】百度优化排名网站开发,https://task.epwk.com/950543/,280人,1人,1000-3000元,圆满完成,vitorru,项目: 百度优化排名网站开发称呼: 蔡先生地区: 杭州，服务商地域不限需求: 个人，做支付行业的百度优化排名，关键词：银联、POS机等预算：看服务商报价时间：未定备注：手机不是微信号【推广员任务陈雪芬】,2021-08-18,2021.08.18,任务编号：950543,2000.0,5天,北京市-北京市,千海视觉-移动互联网高端定制视觉设计服务商,https://shop.epwk.com/7g5ykyxg9n0q/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【口碑营销】健身器材品牌线上营销,https://task.epwk.com/958275/,320人,1人,5000-10000元,圆满完成,k9988****4,与线下众多健身房有合作，目前想开展线上的业务，做一些口碑营销和线上推广，用户群体主要是白领和新兴健身房,2021-08-18,2021.09.08,任务编号：958275,6000.0,10天,安徽省-芜湖市-市辖区,k225015473,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【口碑营销】本土火锅店口碑营销,https://task.epwk.com/958236/,258人,1人,1万-2万元,圆满完成,k5186****6,成都本土火锅店重新装修开业，想要在大众点评、小红书、短视频渠道代运营等平台做些口碑营销,2021-08-17,2021.09.03,任务编号：958236,12500.0,8天,河北省-石家庄市-市辖区,k350186578,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【网站优化方案】体育资讯网站升级优化,https://task.epwk.com/958311/,403人,1人,5000-10000元,圆满完成,k5910****1,专业的足球资讯网站，要做升级优化，可以参考国内目前做得比较好的,2021-08-14,2021.08.26,任务编号：958311,6000.0,5天,江苏省-扬州市-市辖区,k123933889,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【关键词优化】服饰品牌海外官网优化,https://task.epwk.com/958249/,162人,1人,5000-10000元,圆满完成,k8505****3,新创的一个服饰品牌，客群主要在国外，海外品牌官网目前比较粗糙，要进行优化，有实力的欢迎联系,2021-08-11,2021.09.01,任务编号：958249,6500.0,9天,浙江省-温州市-市辖区,k198564399,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【关键词优化】厨房收纳产品做国外网站开发,https://task.epwk.com/958231/,234人,1人,3000-5000元,圆满完成,k6717****5,公司主营厨房收纳产品，需要开发一个英文版的产品介绍网站及谷歌SEO优化,2021-08-10,2021.08.30,任务编号：958231,4500.0,7天,江苏省-无锡市-市辖区,k324457943,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【网站优化方案】农产品交易网站要做优化,https://task.epwk.com/958505/,466人,3人,2万-5万元,圆满完成,k8404****4,农业龙头企业做了一个农产品交易网站，需要做网站主要关键词优化,2021-08-09,2021.08.23,任务编号：958505,45000.0,"8天,7天,6天","山东省-淄博市-市辖区,贵州省-贵阳市-市辖区,湖南省-长沙市-市辖区",k542885471,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【关键词优化】户外跑鞋做谷歌关键词优化,https://task.epwk.com/958454/,179人,1人,5000-10000元,圆满完成,k6684****4,高端户外跑鞋品牌，主打科技材料和时尚设计，需要做海外口碑营销和关键词排名,2021-08-08,2021.08.29,任务编号：958454,8500.0,9天,江苏省-扬州市-市辖区,k700848054,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【关键词优化】外贸企业网站优化,https://task.epwk.com/958405/,230人,1人,5000-10000元,圆满完成,k4880****1,外贸企业要进行国外网站优化，要求在短时间内能让行业关键词在谷歌排名前三页,2021-08-04,2021.08.19,任务编号：958405,8000.0,7天,新疆-乌鲁木齐市-市辖区,夢里飄雪,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【网站优化方案】工业风扇关键词优化,https://task.epwk.com/958350/,167人,1人,1000-3000元,圆满完成,k9258****5,工厂车间用的高功率工业电风扇，销售渠道主要以阿里巴巴为主，需要做关键词排名优化,2021-08-03,2021.08.23,任务编号：958350,1000.0,8天,河南省-商丘市-市辖区,k992793283,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【关键词优化】软件企业国外品牌网站,https://task.epwk.com/958199/,117人,1人,3000-5000元,圆满完成,k2111****3,一家做企业级软件的公司，想要拓展国外市场，要做国外品牌网站优化,2021-07-23,2021.08.03,任务编号：958199,4500.0,5天,贵州省-贵阳市-市辖区,k241732906,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【网站优化方案】智能设备生产企业网站优化方案,https://task.epwk.com/958229/,173人,1人,5000-10000元,圆满完成,k1875****0,一家主要生产智能照明设备的企业，要对网站整体改造和优化,2021-07-15,2021.07.29,任务编号：958229,6500.0,5天,浙江省-绍兴市-市辖区,k599196496,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【网站优化方案】视频直播网站新站优化,https://task.epwk.com/958197/,173人,1人,5000-10000元,圆满完成,k2049****6,刚成立的类短视频平台、快手视频直播网站，需要提升网站权重，做SEO优化,2021-07-10,2021.07.24,任务编号：958197,6500.0,7天,贵州省-贵阳市-市辖区,k184899490,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
