标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【办公空间】办公楼面和庭院创意概念性设计方案,https://task.epwk.com/990384/,1723人,8人,¥2000,圆满完成,单人悬赏,o6242d57c454f9,"公司介绍广东态合堂实业有限公司，于2006年成立，旗下多家公司致力发展林业、林下经济、健康产业等""林业+""项目，业务范围广泛，具备专业的人员队伍和技术水平，建设经验成熟。态合堂先后获评市级、省级和国家级林下经济示范基地的荣誉称号，获评广东省林业龙头企业和国家林业重点龙头企业，并正在建设广东惠州国家林药科技示范园区，为当地林业的发展不断贡献力量。主办单位广东态合堂实业有限公司作品要求1.设计者以图文结合等方式做方案创意设计，办公楼外立面设计要有公司林业特色，需要满足人们对森林的各种需求得到释放，林业新经济概念（含大生态概念）。有循环经济、共享经济、未来经济，另外，装修和设计选材上面可以选择低碳环保、二手的材料，增加公司低碳形象，融入我们共同建设未来地球。2.内容为办公楼外立面外观、楼外的庭院，发挥自己的设计创意能力。制作一个初步概念性设计方案，方案内有整体的设计框架、色彩、空间布局和创意点的说明，思路要清晰明了，在效果图旁标注好每个地方用的材料。3.不得违反《中华人民共和国商标法》的有关规定，须为原创作品，为第一次发布，未侵犯他人的著作权，如有侵权，由设计者承担所有法律责任。",2022.04.07,2022.04.24,任务编号：990384,,,,数控工作室,https://shop.epwk.com/89dvgvvmldl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【新房装修】民宿宾馆装修设计,https://task.epwk.com/981929/,1734人,5人,¥360,圆满完成,单人悬赏,风行水上666,自建房，准备开个民宿宾馆，总计7间，15.513.5米，210平左右，阳台尺寸目前实际1.2米。附件房型供参考，客厅改为1个单间，东南角改为多人间，阳台走廊有门，无卫生间。西北角一大间带上卫生间。,2022.02.13,2022.02.25,任务编号：981929,,,,笔映思维 popeopen,https://shop.epwk.com/omdwkjm4wdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【施工图设计】平面布局创新设计,https://task.epwk.com/969347/,1247人,1人,¥150,圆满完成,单人悬赏,尚品N519r,根据图片里的三个户型平面重新做平面优化，镜像的户型不算。该小区的业主群体为医护，及其他单位职工。根据户型原本不合理的地方进行优化，创新。也可推翻原来的布局，重新布局设计，重新改房间位置。如有符合要求作品，后期追加效果图及施工图合作,2021.11.13,2021.11.29,任务编号：969347,,,,SAN设计工作室,https://shop.epwk.com/9w56eqe9kdv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【办公空间】商会办公室设计,https://task.epwk.com/964588/,1485人,2人,¥1000,圆满完成,单人悬赏,小丑鱼111,联系微信发送cad图纸以及现场图1、前台区需要设立前台和背景墙区；2、贵宾室需8个单人沙发及茶几，2个主宾位；需考虑空间是否够用，如不够可考虑扩大原有隔墙；3、会议活动室会议桌需考虑多种应用场景的变化，桌椅可活动自由组合摆位；入口门需改位；4、总经理室为1人办公，需考虑接待；5、4人办公室需考虑资料柜位置；6、接待茶区需茶水吧、长条茶桌，兼备喝茶、休闲的功能，此区域为重点需设计区域；7、财务室需分开2间，1间为财务总监，1间为2个出纳办公位；需考虑资料柜；入口门需改位；8、董事长办公室为套件，现有建筑格局可改动，需考虑入门玄关；9、小型游戏开发接待室初步考虑分割成小游戏开发区和喝茶休息区，隔断需考虑采光；可将此间扩大，将入口过道包含在内； 以上为办公室的设计要求，原则上可按照原有布局分割、优化，也可重新规划设计；,2021.10.28,2021.11.21,任务编号：964588,,,,友度品牌设计,https://shop.epwk.com/7g5yky8e2n0q/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】给我画一张房屋平面图（大连市）,https://task.epwk.com/943452/,2903人,17人,¥500,圆满完成,单人悬赏,o5ed0b1ebec337,给我画一张房屋平面图（大连市）5间房屋，长17.5m，宽11m功能要求：一个客厅，一个厨房餐厅，2-3个卫生间，一个书房或小型手游开发室4-5个卧室东北角一个设备间，10平左右房屋整体是中式风格或徽派，怎么布局科学合理，给我画出来，下面图片是我自己画了1个，抛砖引玉。,2021.07.08,2021.08.28,任务编号：943452,,,,桐檬,https://shop.epwk.com/z2nkzrpx2nqy/,桐檬,出售服务,https://shop.epwk.com/z2nkzrpx2nqy/chushou/,个人,九品,36分,,,桐檬,,,,,,,,,,,,,,,,,,,
【软装设计】形象墙设计，侧面墙软装方案,https://task.epwk.com/942710/,1370人,7人,¥720,圆满完成,单人悬赏,o5d7d2b405566e,公司名称:眉山赫焜科技有限公司经营范围:区块链技术研发，应用、推广，网络技术开发、技术咨询，企业管理咨询，商务信息咨询LOGO:已上传要求:在已选择地毯颜色和前台颜色为前提进行设计墙体尺寸:已标注图上,2021.07.04,2021.07.15,任务编号：942710,,,,京瑜传媒,https://shop.epwk.com/81n41q6qynp6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他家装服务】招待用28平米小餐厅装修设计,https://task.epwk.com/942279/,2196人,13人,¥300,圆满完成,单人悬赏,seasonlone,空间长6米，宽4.8米长方形，地面已经铺好地板，主要是对墙面、天花板、灯光等进行设计，风格以中式、新中式等风格为佳。,2021.07.01,2021.07.30,任务编号：942279,,,,自在天地工坊,https://shop.epwk.com/89dvgw1rzdl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【软装设计】山东智来律师事务所形象墙设计,https://task.epwk.com/939471/,1483人,9人,¥500,圆满完成,单人悬赏,o60c3****39361,山东智来律师事务所刚刚成立，现有办公地点有几处空白墙。目前需设计顺楼梯而上的侧面墙（尺寸5m长*3m高），为宣传法律文化，体现律师事务所特色，特委托设计。,2021.06.12,2021.07.09,任务编号：939471,,,,步同品牌设计,https://shop.epwk.com/09drjrw2q53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【餐饮饮食】红色主题餐厅效果图设计,https://task.epwk.com/939103/,1845人,11人,¥816,圆满完成,单人悬赏,story8234,"经营介绍：红色历史博物馆附属餐厅设计设计内容：效果图1、2张即可，甲方选定后进行后续设计设计要求： 1、作为博物馆（第一党支部博物馆）的延续，体现红色特色，内容为建国前红色文化（不要文革类红色文化）。2、可融入军事元素，融入农业元素，融入山区文化。3、先设计其中一个餐厅，尺寸为长13。5米， 宽5.8米。中标后洽谈后续方案。4、设计以软装为主，不改变主体结构。知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2021.06.09,2021.07.05,任务编号：939103,,,,o5e95bf8cc4bf8,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【新房装修】建面95平方户型方案修改,https://task.epwk.com/935140/,2736人,14人,¥300,圆满完成,单人悬赏,o5c204789ed297,建面95，套内应该只有70多，已有好几稿方案了，但均不太满意，希望有能人志士给出可靠的修改建议，先谢谢大家。主要诉求包括： 1. 原户型无玄关，进门左侧是落地窗，不舍得遮挡光线，所以没有玄关柜的位置，希望能够解决这个问题。 2. 餐厅位置就在厨房和入户门之间，过于局促，为通煤气的限制，也不能做开放式厨房，是否可以客餐厅合并？如果可以，又应如何安置？最好还能有个餐边柜放些烧水壶之类的小电器。 3. 原户型的客厅正对多功能房的墙，多功能房可以适当缩小，但电视墙不完整和面宽过窄的问题应如何解决？希望多功能房能够预留1.5米床的位置。 4. 原户型只有一卫，而且很小，希望改成两卫，并实现干湿分离。目前已有方案，唯一不满意的就是80公分的洗脸池两边靠墙，操作有些不变，也有想过洗脸池移至沙发旁边位置，又担心影响美观，目前还在犹豫之中。主要就是以上这些问题，现上传原始户型的结构和目前暂定的三个方案，其中第二个方案沙发墙和电视墙的距离有误，请参考另两个方案。希望户型优化能够解决以上问题，需出具dwg文件，采纳后若需详细的施工图，价格另外商量。请大家在满足以上要求的同时，也兼顾收纳足够、动线流畅和简洁美观，谢谢！,2021.05.18,2021.06.26,任务编号：935140,,,,佳瑞设计工作室,https://shop.epwk.com/j7n3817x35e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【软装设计】科研平台形像墙设计,https://task.epwk.com/934815/,2192人,12人,¥688,圆满完成,单人悬赏,qztcweb1zw,一、形像墙上要有下面6个平台名称，但是可以更具需求去减少或增加平台名称在形像墙上，同时不能在形像墙下留下痕迹。1、南方海洋创新药物研发平台2、福建省核受体药物工程研究中心3、福建省靶点新药行业技术开发基地4、福建省药物新靶点研究重点实验室5、厦门市靶点新药工程技术研究中心6、教育部“核受体肿瘤分子靶点与药物开发”创新团队 二、形像墙上的消火栓太凸显影响整体美观需要做修饰处理，让它和形像墙融为一体但又不能影响使用和消防检查。三、形像墙上需要有播放平台的视频介绍，可以内嵌电视，投影等可更具整体效果进行设计四、因为这是形像墙所以需要有凸显美观的效果，但又因为是一个科研学术平台不宜设计过为花哨，以简约干净美观实用为主需要有设计感或是有一些科研的元素。五、客户希望可以形像墙表面可以用浅色木纹理材质表达，6个铜牌平时都需要放到形像墙上，如果某一个平台的主管领导来，要把那个牌子凸显一下，其他牌子还是要在上面，但怎么凸显是个问题。牌子不一样大的问题要怎么克服才会协调。牌子现有60X40CM的一个，还有二个50X70CM的，另个三个需要新做。六、设计方案需要可以落地执行，前期可以先出平面图和效果图定稿后需要出施工图指导施工。,2021.05.16,2021.07.28,任务编号：934815,,,,自在天地工坊,https://shop.epwk.com/89dvgw1rzdl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【软装设计】办公室设计，已有平面图，需设计LOGO墙和整体效果图,https://task.epwk.com/933512/,2730人,9人,¥1500,圆满完成,单人悬赏,o60877f17d4dfd,请查看平面图，是否合理，如果认为不合理，请指出问题，可修改家具尺寸。需要：LOGO墙设计、整体效果图要求：1、LOGO墙须标明LOGO尺寸、位置、材质等细节（重点是此项设计）；2、画出粗略的整体效果图，整体要和谐统一（此项可不必那么精细，有大概的整体效果即可）。提供：平面图、LOGO（LOGO无矢量图）说明：目前的平面图粉色部分可以更改，LOGO墙考虑如果玻璃中空，不利于维护（容易脏），要更改为实心的。,2021.05.08,2021.05.24,任务编号：933512,,,,自在天地工坊,https://shop.epwk.com/89dvgw1rzdl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【办公空间】LOFT办公室设计建议,https://task.epwk.com/929847/,1038人,3人,¥200,圆满完成,单人悬赏,o605174bbd625d,"层高板间到板间4.79米,最大的梁高50CM,设计稿差不多也出了,就是看一看各位大神能不能对这种房型给一些好的建议,避坑而且可能会意外出彩.  现在问了钢架加水泥,中间层为20CM.",2021.04.15,2021.05.03,任务编号：929847,,,,wongcc,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【门头设计】饭店门头设计,https://task.epwk.com/920728/,2379人,9人,¥700,圆满完成,单人悬赏,cuidonglai,"饭店门头设计饭店门头设计，参考图片，已有的比较单一，造型变更一下设计要求： 1、大气、简洁、明快;2、有视觉冲击力，突出餐饮品牌元素;3、附上创意说明。知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2021.02.24,2021.04.10,任务编号：920728,,,,自在天地工坊,https://shop.epwk.com/89dvgw1rzdl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他家装服务】40平样品展示厅+直播间设计效果图,https://task.epwk.com/919107/,1165人,5人,¥1700,圆满完成,单人悬赏,o5e1ecadf3ae74,要求1 ： 展品种类多，要求每类样品需要设计合理的陈列方式跟位置 。有部分图列仅供参考！  要求2 ： 样品间需要设计出直播间的感觉，需要设计一个地方讲解产品跟客户互动。要求3 ： 样品间需要设计隐藏式影棚的位置（如果空间不足可以不设计）要求4 ： 进来参观，美观大方，随处可以看到公司LOGO。要求5 ： 重要！设计出来的东西可以轻松实现！展示效果佳！需要提供平面图，效果图。选定图纸后，会根据要求做修改，把具体的产品图片等发过去修改。（要仔细的效果展示图展示方式，完成度能90%+）算完成产品陈列需要按照4个系类分别设计，一个系类陈列在一起。具体的产品体产品尺寸图片，以及部分样品摆放图列共参考。因为不方便公开产品信息， 需要单独私聊发WORD文档,2021.02.08,2021.03.01,任务编号：919107,,,,海旭设计,https://shop.epwk.com/09drjr2g653w/,海旭设计,出售服务,https://shop.epwk.com/09drjr2g653w/chushou/,个人,二品,50分,,,海旭设计,,室内设计（公寓）,价格面议,室内外装饰设计,价格面议,LOGO设计,价格面议,,,,,,,,,,,,
【软装设计】公司logo设计（前台形象墙设计）,https://task.epwk.com/918501/,2079人,27人,¥500,圆满完成,单人悬赏,zhouxiaoye,1）应用范围：公司前台形象墙、名片及宣传册等2）公司介绍：银行支付系统仿真测试软件开发、产品销售及技术服务为一体的高新技术企业。（官网：http://www.gpaybank.com/）3）中文简称：银拓科技 4）英文名称：gpaybank二、LOGO设计说明：1) gpaybank英译指支付银行的意思，公司客户群体主要是银行或金融类机构。2）图案可根据首写字母yt设计成钱符号的图案。也可自行设计（因英文名称不是公司的中文名意思，故希望图标能体现出公司名称或产品特征），最后呈现出图案+英文gpaybank的组合3）简洁大气，内涵丰富，易于识别、色彩稳重、鲜明，具有视觉冲击力、时尚感、科技感和立体感； 4) 提供对LOGO设计的寓意文字说明，并注明标准色和提供多种配色方案；,2021.02.02,2021.02.20,任务编号：918501,,,,龙蛇映像,https://shop.epwk.com/rp5z407v7dx3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【门头设计】禅意风格会所门面设计,https://task.epwk.com/908066/,1616人,6人,¥500,圆满完成,单人悬赏,o5d9d****5649e,门面设计要求：极简禅意风格设计。在附件中室内平面图的基础上，做整体的店面的门面设计。需预留出会所logo位置。在现有店面的基础上玻璃部分不做大的改动。夹层三个连通的店面有两个落地采光窗（附件：二层平面图示红框部分位置），窗外部分须为：无遮挡或者尽量少遮挡。夹层三个连通店面与两个连通店面的连接位置为可通行廊道（附件：二层平面图示黄框部分位置），须半遮挡或全遮挡。栏杆高度不低于标准高度。会所装修风格——整体外观一体，形成禅意风格，吸引人的网红打卡景观会所经营一层泡茶区：香道、茶艺、古琴的会所形式二楼店面隔层为全落地玻璃，外观设计不影响窗台全景视野,2020.12.03,2021.01.17,任务编号：908066,,,,小阿飞_,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】一个会议室加两处书柜的3D效果图设计,https://task.epwk.com/903393/,2001人,3人,¥100,圆满完成,单人悬赏,慧智创意设计,场景：一个银行大厅的会议室重点家具模型：1、定制中岛书柜一个（上面要求摆放书），实物图片是三层，做的效果图只要两层高度2、定制矮书柜并排两个要求：色调和谐、采光明亮，整体效果好。有参照效果图细节要求不高。任务要求。需要导出3-4张效果图（场景如参照效果图），不需要动图和可视模型。,2020.11.09,2020.12.26,任务编号：903393,,,,o5d32e2d27b157,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他家装服务】房地产中介室内布局设计效果圖,https://task.epwk.com/902682/,3056人,10人,¥800,圆满完成,单人悬赏,o5eeb151e5c857,"店铺是房地产中介公司，需要做室内设计，座位是九个或以上，店铺日常会有客户查询。进门上方是小中空的地方，需要配楼梯上去，进行省位的设计，楼上用于开会议，一张大桌就行。在楼梯底部有少部分位置可以使用,但那部份不能用作座人，有关座位与桌面的大小：两个人坐的话，阔度到少120 cm，宽度50cm，！还有因为座位舒适度，桌子与相邻空间需要至少40 cm。CAD檔案已經做好,可以提供下載,歡迎投稿请投稿的同时加微信发稿，人在海外，不方便登录 微信稿件中意会让客服帮忙选中标 请加微信：CongDW",2020.11.04,2020.11.30,任务编号：902682,,,,是只鸭,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【门头设计】魔动早教中心门头设计,https://task.epwk.com/902615/,1624人,8人,¥700,圆满完成,单人悬赏,candyzhangtru,早教中心门头改造设计：1. 魔动中心名字叫魔动早教，用城堡概念，有魔幻风格，2.招牌做有立体效果，感觉有动态，Q版类，城堡形象设计可大小不一，突出教育理念是千变幻化。3.色彩不能太沉但需显示出魔幻&魔法类型，需要给人一种想进来学习魔法的感觉。4.整个设计师生动而富有魔幻的教育学堂。5.原有门头尺寸请看附件。需要设计原文档，解像度可供直接打印施工。6. 两边咖啡色的柱子可遮挡上，因需要设计成城堡的效果。,2020.11.04,2020.12.18,任务编号：902615,,,,亦谷设计,https://shop.epwk.com/78n96gpy8nkv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【软装设计】招牌和形象墙设计,https://task.epwk.com/898636/,2040人,11人,¥800,圆满完成,单人悬赏,gofar远为,智能锁店招和形象墙  以及墙体海报设计1，店招背板尺寸： 1350*4400CM              背板底色为黄色  见附图   大招牌LOGO加文字： GOFAR  智能锁 体验中心                                                                    小字为：深圳远为电子  20 年智能锁品牌2，形象墙尺寸： 2430*2400                底色待定 可以建议底色     LOGO加文字：GOFAR   深圳远为智能锁                                                                                                     小字：做让自己尊敬的人   做让世界尊敬的产品3：墙体海报在顶部用张贴喷绘图形式，尺寸：  4800*40   两幅  内容不同  一副展示指纹锁   一副展示酒店锁公寓锁                                                                                         可提供我公司产品图颜色字体搭配显示科技感  产品图备索,2020.10.15,2021.01.18,任务编号：898636,,,,半山墨品牌营销设计,https://shop.epwk.com/j7n3813935e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【店铺厂房】商铺效果图设计,https://task.epwk.com/897551/,1622人,9人,¥200,圆满完成,单人悬赏,epweike2015,只要效果图，无需具体，用于健康产业经营项目，例如理疗美容之类。倾向时尚干净简约风格，尺寸大概为3.4*4.5详情：http://note.youdao.com/s/aiTXdrCz,2020.10.10,2020.11.21,任务编号：897551,,,,小理-全屋木作定制衣柜定制,https://shop.epwk.com/zqdplx28on1v/,小理-全屋木作定制衣柜定制,出售服务,https://shop.epwk.com/zqdplx28on1v/chushou/,个人,九品,37分,,,小理-全屋木作定制衣柜定制,,,,,,,,,,,,,,,,,,,
