标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link
【园林设计】绿化配套cad平面图和鸟瞰图设计第一期,https://task.epwk.com/1048829/,313人,2人,¥700,圆满完成,雇佣,mf186****4363,一家食品公司旁边的5000平方配套设计（长85米，宽60米）要求:1.要有15间宿舍，错落分布（单层建筑）2.一个接待室3.一条水系4.先画CAD平面给老板确认   再画一张鸟瞰图,2023.07.11,2023.07.20,任务编号：1048829,￥700,5天,河北省-石家庄市,艺弘设计,https://shop.epwk.com/j7n38j0oe5e1/
,,,,,,,阿图摄影,根据实景图，我提供详实具体尺寸，对四周墙面按我们选定的材料与颜色做个效果图,2023.03.07,2023.03.09,任务编号：1031914,￥200,1天,山东省-济宁市,艺弘设计,https://shop.epwk.com/j7n38j0oe5e1/
【新房装修】办公室装修设计及效果图制作,https://task.epwk.com/1029187/,517人,2人,¥1500,圆满完成,雇佣,竹林听雨123,划定区域部分，包房和茶室可以调整位置，根据现场情况设计装修方案及效果图，简中式装修。,2023.02.13,2023.02.20,任务编号：1029187,￥1500,5天,河北省-石家庄市-裕华区,艺弘设计,https://shop.epwk.com/j7n38j0oe5e1/
【展台展厅】设计一个超市中岛货架,https://task.epwk.com/1015043/,320人,2人,¥400,圆满完成,雇佣,唯创6ZDoa是,我们是做毛绒玩具的厂家，这次客户要做一个在超市里抓娃娃机和陈列中岛货架相结合的方案，达到在店里一边销售可以一边玩抓娃娃机的效果，具体的设想是，货架前面靠着一个抓娃娃机，后面是陈列货架，货架上陈列毛绒玩具和挂的小挂件，这两个做成一体的，货架和娃娃机上面做个灯箱，要这种有点赛博和时尚的彩灯风格，做一圈，上面写上免费抓娃娃，一起开心，不用急于长大，这类的标语，陈列毛绒玩具多找点可爱的，要个两三款，挂件也是。货架就找这种两排陈列的货架，全面这一面全是毛绒玩具，后面端架挂一面可爱的毛绒小挂件，做一个效果图，好方便我们拿去货架厂和客户看，前面，侧面拍两个图就可以了,2022.09.21,2022.09.26,任务编号：1015043,￥400,7天,河南省-郑州市,方木空间设计,https://shop.epwk.com/2j5xogyz05xm/
【新房装修】新房装修设计+施工图,https://task.epwk.com/1013512/,2058人,2人,¥1500,圆满完成,雇佣,o5cde0e765b85b,"143平米两室两厅现代简约风格家装设计图一、任务要求： 1、 预计装潢资金：硬装方面预定8-10万（不含中央空调，家具家电），尽量用最少的钱多办事。 2、 设计风格：现代简约、明快、简洁、大方、温馨（易打扫） 3、 中标条件：A.必须体现设计师针对此装修独有的设计理念的设计方案。请勿提供简单堆砌模型渲染出的效果图或与本户型无任何相似性的参考图片。 B.符合基本的功能要求及预算要求，切合实际、简约时尚的设计方案。C.设计师对自己设计的方案根据双方交流能进行合理、及时修改的设计方案。D、竞标人员可以先出平面布置图和关键的效果图参考。中标作品必须要有施工图。4、中标后须提供的资料：A、平面图：要求详细注明各工作区和功能区名称；有高差变化时须注明标高。B、天花吊顶平面图：要求详细注明各顶棚标高，尺寸及材料，布置灯具（节能灯）及设备。C、立面图：必须含客厅、餐厅，卧室门等，要求：要体现装饰特色，风格，详细注明各个构建尺寸及材料 和安装位置。D、效果图：客厅，餐厅一起，二个房间各一张，一个卫生间，一个厨房，二个阳台，同时还须计算大概辅料用材及用量。 E、详细施工图纸一套（CAD格式）（平面设计图，吊顶图，地板布置图、强弱电路图（弱电包括电话、网络、电视），开关布置图，插座布置图，排水路图，主要立面图，节点大样图等）， 同时还须计算大概辅料用材及用量。 F、为达到设计效果，必须附有主要的施工工艺说明及施工注意事项的说明资料。 总之，设计方必须给出能让装修队能按图施工的详细资料。 G、强弱电布线图、冷热水管道图，需注明名称及其他信息。 H、设计图纸能够为A3纸张打印出来分辨率的效果图。I、设计师自由发挥部分必须提供主要材料清单。 必须体现设计师针对此装修独有的设计理念的设计方案。请勿提供简单堆砌模型渲染出的效果图或与本户型无任何相似性的参考图片。 对户型的要求，四室两厅户型，采用地暖方式采暖，客厅 餐厅  卧室用复合木地板全屋通铺，厨房 卫间地面为瓷砖地面；主卧室简洁、温馨，客厅简约、大气、整洁，次卧为老人房； 其余两间 一间为儿童房 儿童目前7岁 上小学一年级  一间为书房  经常加班用 ，厨房及卫生间须布局合理，墙面为瓷砖，顶面为金属吊顶或铝吊顶：储物柜、鞋柜由设计师设计至合理位置。墙面及顶面基本考虑采用乳胶漆，可根据设计师的自由发挥颜色设置。设计师可以充分发挥想象力，天马行空，但一切需简约为主。你能做到让我拿到你的图纸找工人就能施工就好了。知识产权说明：                1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                    2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;本人提供cad格式户型图，户型图不包含墙体粉刷层",2022.09.09,2022.10.07,任务编号：1013512,"￥1500,￥1500","15天,15天","上海市-市辖区,上海市-市辖区",你说我画—设计工作室,https://shop.epwk.com/2j5xogkpx5xm/
【施工图设计】蔬菜生鲜超市VI设计,https://task.epwk.com/1012363/,214人,1人,¥5000,圆满完成,雇佣,k2697****34,项目:蔬菜生鲜超市VI设计称呼:胡先生地区:山东潍坊需求:蔬菜生鲜超市VI设计。招牌设计。平面布局图，门面，一楼室内效果图，平面施工图。具体已实际沟通的为准，确定合作,2022.08.31,2022.09.17,任务编号：1012363,￥5000,15天,广东省-佛山市-顺德区,佛山极影文化传媒有限公司,https://shop.epwk.com/78n962z6znkv/
【餐饮饮食】钵钵鸡效果图设计,https://task.epwk.com/1006149/,444人,1人,¥1100,圆满完成,雇佣,丨素梦,设计兼效果图，70平，具体需求详谈,2022.07.19,2022.08.20,任务编号：1006149,￥800,5天,河南省-郑州市,郑州合观品牌设计与服务,https://shop.epwk.com/0jnekvr9ynv3/
【施工图设计】全套施工图设计,https://task.epwk.com/1005867/,631人,3人,¥1700,圆满完成,雇佣,Es丶释迦,需做效果图的全套施工图纸  因为效果图现在还没完全确定  所以后期可能施工图会有修改,2022.07.17,2022.07.21,任务编号：1005867,￥1700,3天,湖南省-长沙市-芙蓉区,曦宸设计,https://shop.epwk.com/zqdplm0r9n1v/
【餐饮饮食】展区展厅设计,https://task.epwk.com/1005738/,1319人,1人,¥2000,圆满完成,雇佣,享客堂hcZf3,6x5 30平方展区 三面通透或者两面通透 分三个区域 陈列三种饮料产品  设计建模 贴图 渲染效果图 定稿后出施工图,2022.07.16,2022.12.24,任务编号：1005738,￥2000,3天,河南省-郑州市-中原区,方木空间设计,https://shop.epwk.com/2j5xogyz05xm/
【施工图设计】装修办公室区域设计,https://task.epwk.com/1004964/,643人,1人,¥2000,圆满完成,雇佣,Es丶释迦,四个 900800cm的空间 是链接在一起的  需要在9米长度的区域做380高的背景墙  在另外三边做120cm高的划分隔断  整体需要增加科技感   四个区域没有房顶  只有一个380的墙 和三边120cm高的周边隔断    出效果图后需修改到满意为止   一共四张细节图  一张鸟瞰图,2022.07.12,2022.08.04,任务编号：1004964,￥2000,2天,湖南省-长沙市-芙蓉区,曦宸设计,https://shop.epwk.com/zqdplm0r9n1v/
【展台展厅】以暖通为主，带着门窗及柜子的展厅设计,https://task.epwk.com/1002209/,295人,1人,¥750,圆满完成,雇佣,WChongYu,一楼需要 暖通 门窗 柜子 结合的展厅，以暖通为主。卫生间二楼两个独立办公室，一个四人位的公共办公区，两个谈单室,2022.06.24,2022.07.21,任务编号：1002209,￥750,2天,河南省-郑州市-中原区,方木空间设计,https://shop.epwk.com/2j5xogyz05xm/
,,,,,,,,,,,,,,,,
【效果图设计】全集成灶行业卡通形象设计,https://task.epwk.com/1002083/,223人,1人,¥1000,圆满完成,雇佣,vitorru,"项目:全集成灶行业卡通形象设计地区:浙江省,绍兴市需求:我们是做全集成灶行业的，我们集团企业20年  英伦罗孚  想做一个卡通的人物画  我们之前夏季造的一个设计  如图一所示，现在我们要做全新制造的logo。肯定要比这个出版设计的更好，符合当下审美方式，厨房的一个很Q，很萌很萌，还好看。我们这个是全体通灶，服务商需要出一下合同流程，想看一下设计公司的报价，以及过往case案例也发一下，因为第一次尝试动画形象二维  希望设计要到位  要求是二维，细节就是很q，很萌符合当下厨房女性的审美颜值观念，后期会有下属的部门经理和对接  现在大方向和内容给了，下午的话抓紧发看一下。 时间：我们是着急要，预算:联系报价 注意：联系说一品威客小丽推荐，备注:推广员秀L引进【推广员任务】已谈好合作，具体设计要求以双方事先沟通好为准。",2022.06.23,2022.07.19,任务编号：1002083,￥1000,7天,北京市-北京市-朝阳区,亿赞智合●商标品牌符号设计,https://shop.epwk.com/z2nkz97wonqy/
【效果图设计】全集成灶行业卡通形象设计,https://task.epwk.com/1002083/,223人,1人,¥1000,圆满完成,雇佣,vitorru,"项目:全集成灶行业卡通形象设计地区:浙江省,绍兴市需求:我们是做全集成灶行业的，我们集团企业20年  英伦罗孚  想做一个卡通的人物画  我们之前夏季造的一个设计  如图一所示，现在我们要做全新制造的logo。肯定要比这个出版设计的更好，符合当下审美方式，厨房的一个很Q，很萌很萌，还好看。我们这个是全体通灶，服务商需要出一下合同流程，想看一下设计公司的报价，以及过往case案例也发一下，因为第一次尝试动画形象二维  希望设计要到位  要求是二维，细节就是很q，很萌符合当下厨房女性的审美颜值观念，后期会有下属的部门经理和对接  现在大方向和内容给了，下午的话抓紧发看一下。 时间：我们是着急要，预算:联系报价 注意：联系说一品威客小丽推荐，备注:推广员秀L引进【推广员任务】已谈好合作，具体设计要求以双方事先沟通好为准。",2022.06.23,2022.07.19,任务编号：1002083,￥1000,7天,北京市-北京市-朝阳区,亿赞智合●商标品牌符号设计,https://shop.epwk.com/z2nkz97wonqy/
【效果图设计】吊顶效果图设计,https://task.epwk.com/1001433/,360人,2人,¥200,圆满完成,雇佣,旭诺空调11,吊顶有几根铝型材  根据现场情况设计效果图 需要可落地施工的图纸,2022.06.20,2022.06.24,任务编号：1001433,￥200,1天,上海市-市辖区,你说我画—设计工作室,https://shop.epwk.com/2j5xogkpx5xm/
【效果图设计】720全景效果图设计,https://task.epwk.com/1001578/,491人,4人,¥600,圆满完成,雇佣,o607053dbe4105,已有设计图，只要设计全景效果图，具体详谈,2022.06.20,2022.06.28,任务编号：1001578,￥600,3天,山东省-淄博市,维度品牌設计工作室,https://shop.epwk.com/0z5o4xg2xnjq/
【效果图设计】机房效果图设计,https://task.epwk.com/1000424/,401人,1人,¥1600,圆满完成,雇佣,花郎,根据图纸出效果图,2022.06.13,2022.06.29,任务编号：1000424,￥1600,8天,黑龙江省-大庆市,屿舟设计,https://shop.epwk.com/qgdmj3j1ydke/
【效果图设计】复式结构150平旧房改造设计,https://task.epwk.com/995824/,2143人,1人,¥3000,圆满完成,雇佣,尚佳rng5H,地板不改动设计：墙面颜色，衣柜颜色、分布、样式家具布局厨卫翻新功能房设计一个较隐蔽的榻榻米，办公为主儿童房要粉色系,2022.05.12,2022.08.03,任务编号：995824,￥3000,15天,山西省-太原市-迎泽区,米兰全案设计,https://shop.epwk.com/09drj1qx353w/
【其他建筑设计】网红街覆盖井盖设计,https://task.epwk.com/995160/,277人,1人,¥300,圆满完成,雇佣,sun13****74607,整条街道大约800米长南北走向，中间小十字路口分开，北边有10—11米宽不等，南边6米宽。整条路大约66个雨污电井盖，不规则分布。施工计划为：井盖比路面低7公分，金属井盖平置后上方放置80805公分厚雕刻产品，雕刻深度为1公分。业主要求:网红主题，从地雕产品不规则的摆放中找到规律，我们提供的春夏秋冬，梅兰竹菊，雕刻文字穿插分布等方案他也认可，只是要有规律，我们没有理解透彻业主的所谓规律，现征集各位大神可否提供设计思路！,2022.05.09,2022.05.10,任务编号：995160,￥300,5天,湖南省-长沙市-芙蓉区,曦宸设计,https://shop.epwk.com/zqdplm0r9n1v/
【效果图设计】公寓要平面图和立面图设计,https://task.epwk.com/992982/,459人,3人,¥500,圆满完成,雇佣,o5ad748dfebb8f,公寓，实用面积35平方米，做一室一厅，要平面图和立面图，不用设计效果图，方案我巳找到，到时候我可以发送资料。,2022.04.23,2022.05.03,任务编号：992982,￥500,5天,广东省-佛山市-顺德区,DF室内设计工作室,https://shop.epwk.com/3gd2mqqrvner/
【其他公装设计】cad效果图设计,https://task.epwk.com/969425/,1617人,1人,¥3000,圆满完成,雇佣,领域之巅yZpdG,垃圾房cad效果图设计，4.7米乘以2.3米主要的垃圾房，2.3乘以2.3的简易的活动房，5.5乘以2.3也是简易的活动房，茶室室内设计，事业单位使用，加微信备注威客，或者先电话联系,2021.11.14,2021.11.27,任务编号：969425,￥3000,10天,广东省-深圳市,广东红点创意设计有限公司,https://shop.epwk.com/m7d7w74er5q8/
【新房装修】全包预算表一份出租房,https://task.epwk.com/967603/,574人,2人,¥200,圆满完成,雇佣,丨素梦,只有平面图   水走天电走地   卫生间厨房洗衣阳台贴砖全屋地板    全房不吊顶就算主卧一个衣柜    主材地砖  地板  大理石  橱柜  灯具插座金卫浴  窗帘,2021.11.03,2021.11.05,任务编号：967603,"￥200,￥200","1天,2天","山西省-晋中市-榆次区,江苏省-苏州市-昆山市",米兰全案设计,https://shop.epwk.com/09drj1qx353w/
【商业空间】美容养生馆全景效果图制作,https://task.epwk.com/966986/,656人,2人,¥400,圆满完成,雇佣,o6165****5a78f,美容养生馆全景效果图制作,2021.11.02,2021.11.03,任务编号：966986,￥400,4天,上海市-市辖区,你说我画—设计工作室,https://shop.epwk.com/2j5xogkpx5xm/
【效果图设计】3Dmax效果图灯光调节,https://task.epwk.com/959937/,786人,2人,¥210,圆满完成,雇佣,o6165****5a78f,3Dmax效果图灯光调节，模型已建好，就调节灯光参数，渲染出图,2021.10.12,2021.10.13,任务编号：959937,"￥200,￥200","1天,1天","山西省-晋中市-榆次区,江苏省-常州市-武进区",米兰全案设计,https://shop.epwk.com/09drj1qx353w/
【自建房】自建仓库,https://task.epwk.com/963310/,808人,1人,¥5000,圆满完成,雇佣,k2818****8,500平用地，两层仓库，内装运货电梯,2021.10.12,2021.10.22,任务编号：963310,￥5000,5天,辽宁省-丹东市-市辖区,美当高端定制设计,https://task.epwk.com/javascript:;
【舞台设计】需要舞台幕布设计方案,https://task.epwk.com/963953/,285人,1人,¥2000,圆满完成,雇佣,k4790****7,急求一个``以环保为主题``的设计方案，幕布用环保材料做成，幕布要突出春，夏，秋，冬这四个季节的特征，舞台的设计也一样,2021.10.11,2021.10.21,任务编号：963953,￥2000,3天,江西省-上尧市-市辖区,纯点空间设计,https://task.epwk.com/javascript:;
【舞台设计】舞台背景设计,https://task.epwk.com/963954/,784人,1人,¥500,圆满完成,雇佣,k6220****9,1、主题是“筑梦新时代”要求字体大小一致。2、背景尺寸：主背景宽8米高4米，两侧副背景是宽2米，高4米   原尺寸分辨率20以上，RGB模式就行。3、背景颜色以红色喜庆色为主，蓝色辅助,2021.10.11,2021.10.21,任务编号：963954,￥500,5天,新疆-乌鲁木齐市-市辖区,阳光店铺设计,https://task.epwk.com/javascript:;
【自建房】三层自建别墅,https://task.epwk.com/963306/,3396人,1人,¥50000,圆满完成,雇佣,k8323****2,整体风格宫殿式，大理石材料，提交相关案例作为参考,2021.10.11,2021.10.22,任务编号：963306,￥50000,5天,湖北省-荆州市-市辖区,k467718740,https://task.epwk.com/javascript:;
【自建房】自建住房,https://task.epwk.com/963307/,1669人,1人,¥50000,圆满完成,雇佣,k2009****6,建一个两兄弟的并排房，美观大气，详情细聊,2021.10.11,2021.10.22,任务编号：963307,￥50000,4天,山西省-大同市-市辖区,美当高端定制设计,https://task.epwk.com/javascript:;
【自建房】自建带店面排房,https://task.epwk.com/963309/,307人,1人,¥20000,圆满完成,雇佣,k3407****4,自建三间店面排房，店面层带阁楼，建房总面积额300平,2021.10.11,2021.10.22,任务编号：963309,￥20000,5天,江西省-宜春市-市辖区,壹零壹空间设计,https://task.epwk.com/javascript:;
【自建房】五层自建住房,https://task.epwk.com/963308/,610人,1人,¥30000,圆满完成,雇佣,k3796****7,每层面积200平，一楼要求有车库和仓库，二楼是餐厅和大客厅，三四层三房三卫一厅，五层要求有一个大阳台,2021.10.11,2021.10.23,任务编号：963308,￥30000,6天,青海省-玉树市-市辖区,k531286305,https://task.epwk.com/javascript:;
【样板间】大平层样板间设计,https://task.epwk.com/964117/,818人,1人,¥25000,圆满完成,雇佣,k1127****2,200平靠海大平层样板间设计，需要有开放式的中西厨，配色莫兰迪色系,2021.10.11,2021.10.22,任务编号：964117,￥25000,4天,四川省-成都市-市辖区,吉美艺术设计,https://task.epwk.com/javascript:;
【娱乐休闲】银制品DIY手工坊做门店设计,https://task.epwk.com/963088/,381人,1人,¥25000,圆满完成,雇佣,k9569****3,主打银制品的DIY手工坊，换了新门店需要做装修设计，要预留作品展示区、留言板等位置,2021.10.10,2021.10.21,任务编号：963088,￥25000,5天,浙江省-丽水市-市辖区,设计人花爷,https://task.epwk.com/javascript:;
【舞台设计】求做一升降舞台设计,https://task.epwk.com/963947/,369人,1人,¥4000,圆满完成,雇佣,k9080****3,任务要求：舞台尺寸15mx12m。上升高度：800mm，顶部载荷1500N/m2，起升速度1m/min ，要求用柔齿条传动，进行传动方案的设计及传动零件的计算和结构设计，以及舞台的整体布局设计及安装联接设计。,2021.10.10,2021.10.25,任务编号：963947,￥4000,6天,江西省-南昌市-市辖区,所见空间设计,https://task.epwk.com/javascript:;
【复式设计】复式户型室内装潢设计,https://task.epwk.com/962804/,284人,1人,¥5000,圆满完成,雇佣,k5463****4,复式户型的楼房，需要室内的一些装饰装潢，打造比较温馨的氛围,2021.10.10,2021.10.23,任务编号：962804,￥5000,6天,湖南省-长沙市-市辖区,行者空间设计,https://task.epwk.com/javascript:;
【复式设计】复式户型装修效果图,https://task.epwk.com/963928/,488人,1人,¥2000,圆满完成,雇佣,k5625****1,复式户型的住宅楼房，准备要装修，求效果图，然后好确定进行,2021.10.10,2021.10.20,任务编号：963928,￥2000,5天,重庆市-重庆市-市辖区,三千建筑设计,https://task.epwk.com/javascript:;
【舞台设计】学校的舞台设计,https://task.epwk.com/961328/,347人,2人,¥1000,圆满完成,雇佣,k4065****5,我们学校有一个大舞台刚建好，校长说让我们自己设计，总共花费大约在10万左右，最好是具体一点的，比如音响几个 ，什么牌子的，麦克几个什么牌子的，还有灯光什么的,2021.10.10,2021.10.19,任务编号：961328,"￥1000,￥1000","3天,5天","云南省-昆明市-市辖区,湖南省-长沙市-市辖区",旗帜品牌设计,https://task.epwk.com/javascript:;
【舞台设计】急求校园晚会的舞台设计方案,https://task.epwk.com/963949/,312人,1人,¥1000,圆满完成,雇佣,k9093****5,我们学校要搞一个晚会，是一项活动的闭幕式，要装饰一下舞台，设计要突出法国风情与特点的,2021.10.10,2021.10.22,任务编号：963949,￥1000,5天,江苏省-南京市-市辖区,k435750856,https://task.epwk.com/javascript:;
【舞台设计】求个性详细的婚礼舞台设计,https://task.epwk.com/963948/,321人,1人,¥2000,圆满完成,雇佣,k5706****4,我要举办个酒店婚礼，想要一个温馨，个性，可行性强的婚礼舞台设计,2021.10.10,2021.10.22,任务编号：963948,￥2000,6天,北京市-北京市-市辖区,河南仟佰迦设计,https://task.epwk.com/javascript:;
【自建房】自建两层半别墅,https://task.epwk.com/963305/,387人,1人,¥20000,圆满完成,雇佣,k7614****5,风格简约大气，要求有落地窗，内附楼中楼，7室厨房8卫1餐厅1厨房2客厅,2021.10.10,2021.10.23,任务编号：963305,￥20000,5天,陕西省-咸阳市-市辖区,大王设计工作室,https://task.epwk.com/javascript:;
【自建房】自建厂房规划,https://task.epwk.com/963304/,392人,1人,¥25000,圆满完成,雇佣,k8265****8,大概一层面积500平方米，计划建五层，用于服装生产使用,2021.10.10,2021.10.21,任务编号：963304,￥25000,3天,湖南省-湘潭市-市辖区,餐饮店室内设计,https://task.epwk.com/javascript:;
